Marker_Name,scaffold_ID,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,LG,genetic_position,Freq
RosBREED_snp_tart_cherry_a_Pp1_07674018,HiC_scaffold_2,98.03,203,3,1,2,204,8475334,8475535,2.00E-95,351,204,1,18.29,3
RosBREED_snp_tart_cherry_a_Pp1_07825840,HiC_scaffold_3,98.53,204,2,1,1,204,7877916,7878118,9.00E-98,359,204,1,18.52,3
RosBREED_snp_tart_cherry_a_Pp1_07825840,HiC_scaffold_2,98.04,204,3,1,1,204,8636625,8636827,4.00E-96,353,204,1,18.52,3
RosBREED_snp_tart_cherry_a_Pp1_07825840,HiC_scaffold_1,98.53,204,2,1,1,204,8284818,8285020,9.00E-98,359,204,1,18.52,3
RosBREED_snp_tart_cherry_a_Pp1_08333998,HiC_scaffold_3,98.04,204,3,1,1,204,8505391,8505593,4.00E-96,353,204,1,22.35,3
RosBREED_snp_tart_cherry_a_Pp1_08333998,HiC_scaffold_2,97.07,205,3,3,1,204,9361495,9361697,9.00E-93,342,204,1,22.35,3
RosBREED_snp_tart_cherry_a_Pp1_08333998,HiC_scaffold_1,95.59,204,8,1,1,204,8915838,8916040,9.00E-88,326,204,1,22.35,3
RosBREED_snp_tart_cherry_a_Pp1_08495367,HiC_scaffold_1,90.66,182,6,5,2,182,9183600,9183771,2.00E-59,231,204,1,23.56,3
RosBREED_snp_tart_cherry_a_Pp1_08596743,HiC_scaffold_2,95.59,204,7,2,1,204,9618381,9618582,9.00E-88,326,204,1,24.32,2
RosBREED_snp_tart_cherry_a_Pp1_08596743,HiC_scaffold_1,96.57,204,5,2,1,204,9268757,9268958,4.00E-91,337,204,1,24.32,2
RosBREED_snp_tart_cherry_a_Pp1_08761642,HiC_scaffold_2,97.55,204,4,1,1,204,9772543,9772745,2.00E-94,348,204,1,25.57,3
RosBREED_snp_tart_cherry_a_Pp1_08761642,HiC_scaffold_3,98.04,204,3,1,1,204,8949881,8950083,4.00E-96,353,204,1,25.57,3
RosBREED_snp_tart_cherry_a_Pp1_08761642,HiC_scaffold_1,98.53,204,2,1,1,204,9459687,9459889,9.00E-98,359,204,1,25.57,3
RosBREED_snp_tart_cherry_a_Pp1_09689918,HiC_scaffold_3,96.34,191,6,1,14,204,9976252,9976441,7.00E-84,313,204,1,29.89,3
RosBREED_snp_tart_cherry_a_Pp1_09689918,HiC_scaffold_2,95.34,193,6,2,14,204,10975685,10975876,4.00E-81,303,204,1,29.89,3
RosBREED_snp_tart_cherry_a_Pp1_09689918,HiC_scaffold_1,94.24,191,10,1,14,204,10471326,10471515,3.00E-77,291,204,1,29.89,3
RosBREED_snp_tart_cherry_a_Pp1_10265101,HiC_scaffold_2,99.51,204,0,1,1,204,11638031,11638233,4.00E-101,370,204,1,32.72,3
RosBREED_snp_tart_cherry_a_Pp1_10265101,HiC_scaffold_1,99.02,204,1,1,1,204,11307929,11308131,2.00E-99,364,204,1,32.72,3
RosBREED_snp_tart_cherry_a_Pp1_10265101,HiC_scaffold_3,98.53,204,2,1,1,204,10669077,10669279,9.00E-98,359,204,1,32.72,3
RosBREED_snp_tart_cherry_a_Pp1_10402510,HiC_scaffold_3,96.55,203,6,1,1,203,10883184,10883385,2.00E-90,335,204,1,33.25,3
RosBREED_snp_tart_cherry_a_Pp1_10402510,HiC_scaffold_1,96.5,200,6,1,1,200,11507854,11508052,7.00E-89,329,204,1,33.25,3
RosBREED_snp_tart_cherry_a_Pp1_10402510,HiC_scaffold_2,97.54,203,4,1,1,203,11791211,11791412,7.00E-94,346,204,1,33.25,3
RosBREED_snp_tart_cherry_a_Pp1_10492067,HiC_scaffold_1,96.86,191,2,3,13,203,11650698,11650884,5.00E-85,316,204,1,33.53,3
RosBREED_snp_tart_cherry_a_Pp1_10492067,HiC_scaffold_3,97.4,192,2,3,13,204,11017255,11017443,3.00E-87,324,204,1,33.53,3
RosBREED_snp_tart_cherry_a_Pp1_10492067,HiC_scaffold_2,95.83,192,5,3,13,204,11938715,11938903,3.00E-82,307,204,1,33.53,3
RosBREED_snp_tart_cherry_a_Pp1_10531094,HiC_scaffold_3,97.06,204,5,1,1,204,11039372,11039574,9.00E-93,342,204,1,33.66,3
RosBREED_snp_tart_cherry_a_Pp1_10531094,HiC_scaffold_1,97.06,204,5,1,1,204,11683253,11683455,9.00E-93,342,204,1,33.66,3
RosBREED_snp_tart_cherry_a_Pp1_10531094,HiC_scaffold_2,97.55,204,4,1,1,204,11961014,11961216,2.00E-94,348,204,1,33.66,3
RosBREED_snp_tart_cherry_a_Pp1_10568530,HiC_scaffold_2,98.48,197,2,1,8,204,11987348,11987543,7.00E-94,346,204,1,33.74,3
RosBREED_snp_tart_cherry_a_Pp1_10568530,HiC_scaffold_1,98.48,197,2,1,8,204,11713412,11713607,7.00E-94,346,204,1,33.74,3
RosBREED_snp_tart_cherry_a_Pp1_10568530,HiC_scaffold_3,97.97,197,3,1,8,204,11063890,11064085,3.00E-92,340,204,1,33.74,3
RosBREED_snp_tart_cherry_a_Pp1_11147283,HiC_scaffold_1,97.09,206,3,3,1,204,12493910,12494114,3.00E-93,344,204,1,41.57,3
RosBREED_snp_tart_cherry_a_Pp1_16541503,HiC_scaffold_3,95.27,169,5,2,38,204,17030477,17030644,2.00E-69,265,204,1,46.68,3
RosBREED_snp_tart_cherry_a_Pp1_16541503,HiC_scaffold_2,97.01,201,3,2,6,204,19182415,19182614,2.00E-90,335,204,1,46.68,3
RosBREED_snp_tart_cherry_a_Pp1_16541503,HiC_scaffold_1,94.03,201,8,3,6,204,19013382,19013580,2.00E-80,302,204,1,46.68,3
RosBREED_snp_tart_cherry_a_Pp1_20249349,HiC_scaffold_2,95.63,206,6,3,1,204,22690602,22690806,3.00E-88,327,204,1,50.11,3
RosBREED_snp_tart_cherry_a_Pp1_20249349,HiC_scaffold_3,97.6,167,2,2,39,204,20871989,20872154,2.00E-75,285,204,1,50.11,3
RosBREED_snp_tart_cherry_a_Pp1_21288554,HiC_scaffold_1,96.57,204,4,2,1,204,24903767,24903967,2.00E-90,335,204,1,51.02,3
RosBREED_snp_tart_cherry_a_Pp1_21288554,HiC_scaffold_2,94.61,204,7,3,1,204,24033680,24033879,7.00E-84,313,204,1,51.02,3
RosBREED_snp_tart_cherry_a_Pp1_21288554,HiC_scaffold_3,95.1,204,4,4,1,204,22537950,22538147,5.00E-85,316,204,1,51.02,3
RosBREED_snp_tart_cherry_a_Pp1_21818756,HiC_scaffold_1,95.6,182,5,2,23,204,25755975,25756153,1.00E-76,289,204,1,51.48,3
RosBREED_snp_tart_cherry_a_Pp1_21818756,HiC_scaffold_2,93.4,197,12,1,8,204,24553003,24553198,3.00E-77,291,204,1,51.48,3
RosBREED_snp_tart_cherry_a_Pp1_21818756,HiC_scaffold_3,98.26,172,2,1,9,180,23832179,23832349,6.00E-80,300,204,1,51.48,3
RosBREED_snp_tart_cherry_a_Pp1_22358343,HiC_scaffold_2,95.59,204,7,2,1,204,25119492,25119693,9.00E-88,326,204,1,51.95,3
RosBREED_snp_tart_cherry_a_Pp1_22358343,HiC_scaffold_1,96.57,204,5,2,1,204,26342969,26343170,4.00E-91,337,204,1,51.95,3
RosBREED_snp_tart_cherry_a_Pp1_22358343,HiC_scaffold_3,97.06,204,4,2,1,204,24393033,24393234,9.00E-93,342,204,1,51.95,3
RosBREED_snp_tart_cherry_a_Pp1_22774263,HiC_scaffold_3,96.53,202,6,1,1,202,24893506,24893706,5.00E-90,333,204,1,52.32,3
RosBREED_snp_tart_cherry_a_Pp1_22774263,HiC_scaffold_2,96.04,202,7,1,1,202,25638175,25638375,3.00E-88,327,204,1,52.32,3
RosBREED_snp_tart_cherry_a_Pp1_22774263,HiC_scaffold_1,95.54,202,8,1,1,202,26904269,26904469,1.00E-86,322,204,1,52.32,3
RosBREED_snp_tart_cherry_a_Pp1_23245397,HiC_scaffold_1,97.55,204,4,1,1,204,27519211,27519413,2.00E-94,348,204,1,52.73,3
RosBREED_snp_tart_cherry_a_Pp1_23245397,HiC_scaffold_3,97.06,204,5,1,1,204,25335036,25335238,9.00E-93,342,204,1,52.73,3
RosBREED_snp_tart_cherry_a_Pp1_23245397,HiC_scaffold_2,96.57,204,6,1,1,204,26058105,26058307,4.00E-91,337,204,1,52.73,3
RosBREED_snp_tart_cherry_a_Pp1_23858094,HiC_scaffold_1,97.06,204,5,1,1,204,27938044,27938246,9.00E-93,342,204,1,53.27,3
RosBREED_snp_tart_cherry_a_Pp1_23858094,HiC_scaffold_2,97.06,204,5,1,1,204,26453432,26453634,9.00E-93,342,204,1,53.27,3
RosBREED_snp_tart_cherry_a_Pp1_23858094,HiC_scaffold_3,96.57,204,6,1,1,204,25893040,25893242,4.00E-91,337,204,1,53.27,3
RosBREED_snp_tart_cherry_a_Pp1_24309591,HiC_scaffold_3,96.57,204,6,1,1,204,26352604,26352806,4.00E-91,337,204,1,53.66,3
RosBREED_snp_tart_cherry_a_Pp1_24309591,HiC_scaffold_1,97.55,204,4,1,1,204,28423207,28423409,2.00E-94,348,204,1,53.66,3
RosBREED_snp_tart_cherry_a_Pp1_24309591,HiC_scaffold_2,96.57,204,6,1,1,204,27115792,27115994,4.00E-91,337,204,1,53.66,3
RosBREED_snp_tart_cherry_a_Pp1_24949017,HiC_scaffold_2,96.1,205,6,2,1,204,29799348,29799145,5.00E-90,333,204,1,67.04,3
RosBREED_snp_tart_cherry_a_Pp1_24949017,HiC_scaffold_1,97.56,205,3,2,1,204,29066110,29066313,5.00E-95,350,204,1,67.04,3
RosBREED_snp_tart_cherry_a_Pp1_24949017,HiC_scaffold_3,98.04,204,3,1,1,204,26947066,26947268,4.00E-96,353,204,1,67.04,3
RosBREED_snp_tart_cherry_a_Pp1_25012285,HiC_scaffold_2,97.51,201,4,1,1,201,29702469,29702270,9.00E-93,342,204,1,67.32,4
RosBREED_snp_tart_cherry_a_Pp1_25012285,HiC_scaffold_3,96.02,201,7,1,1,201,27013926,27014125,9.00E-88,326,204,1,67.32,4
RosBREED_snp_tart_cherry_a_Pp1_25012285,HiC_scaffold_1,93.53,201,5,3,1,201,29243928,29244120,9.00E-78,292,204,1,67.32,4
RosBREED_snp_tart_cherry_a_Pp1_25012285,HiC_scaffold_1,96.52,201,6,1,1,201,29197760,29197959,2.00E-89,331,204,1,67.32,4
RosBREED_snp_tart_cherry_a_Pp1_25276192,HiC_scaffold_3,97.65,170,3,1,3,172,27351146,27351314,3.00E-77,291,204,1,68.52,3
RosBREED_snp_tart_cherry_a_Pp1_25276192,HiC_scaffold_1,97.52,202,4,1,3,204,29558164,29558364,3.00E-93,344,204,1,68.52,3
RosBREED_snp_tart_cherry_a_Pp1_25276192,HiC_scaffold_2,98.02,202,3,1,3,204,29397156,29396956,5.00E-95,350,204,1,68.52,3
RosBREED_snp_tart_cherry_a_Pp1_25475460,HiC_scaffold_2,95.59,204,8,1,1,204,29205328,29205126,9.00E-88,326,204,1,69.43,2
RosBREED_snp_tart_cherry_a_Pp1_25475460,HiC_scaffold_1,95.59,204,8,1,1,204,29739956,29740158,9.00E-88,326,204,1,69.43,2
RosBREED_snp_tart_cherry_a_Pp1_26253440,HiC_scaffold_3,96.08,204,7,1,1,204,28498038,28498240,2.00E-89,331,204,1,74.61,3
RosBREED_snp_tart_cherry_a_Pp1_26253440,HiC_scaffold_1,97.55,204,4,1,1,204,30714277,30714479,2.00E-94,348,204,1,74.61,3
RosBREED_snp_tart_cherry_a_Pp1_26253440,HiC_scaffold_2,97.55,204,4,1,1,204,28162987,28162785,2.00E-94,348,204,1,74.61,3
RosBREED_snp_tart_cherry_a_Pp1_26539206,HiC_scaffold_2,98.53,204,2,1,1,204,29964110,29964312,9.00E-98,359,204,1,75.32,3
RosBREED_snp_tart_cherry_a_Pp1_26539206,HiC_scaffold_3,99.02,204,1,1,1,204,28817830,28818032,2.00E-99,364,204,1,75.32,3
RosBREED_snp_tart_cherry_a_Pp1_26539206,HiC_scaffold_1,99.02,204,1,1,1,204,31060807,31061009,2.00E-99,364,204,1,75.32,3
RosBREED_snp_tart_cherry_a_Pp1_26880334,HiC_scaffold_2,96.7,182,5,1,23,204,30456961,30457141,2.00E-80,302,204,1,76.17,3
RosBREED_snp_tart_cherry_a_Pp1_26880334,HiC_scaffold_3,96.57,204,5,2,1,204,29244862,29245063,4.00E-91,337,204,1,76.17,3
RosBREED_snp_tart_cherry_a_Pp1_26880334,HiC_scaffold_1,96.39,194,5,2,11,204,31475533,31475724,2.00E-85,318,204,1,76.17,3
RosBREED_snp_tart_cherry_a_Pp1_27272942,HiC_scaffold_1,95.96,198,7,1,1,198,31830738,31830934,4.00E-86,320,204,1,77.14,3
RosBREED_snp_tart_cherry_a_Pp1_27272942,HiC_scaffold_3,95.59,204,8,1,1,204,29597469,29597671,9.00E-88,326,204,1,77.14,3
RosBREED_snp_tart_cherry_a_Pp1_27272942,HiC_scaffold_2,95.59,204,8,1,1,204,30936350,30936552,9.00E-88,326,204,1,77.14,3
RosBREED_snp_tart_cherry_a_Pp1_27702307,HiC_scaffold_3,97.02,168,4,1,1,168,30064934,30065100,2.00E-74,281,204,1,78.2,3
RosBREED_snp_tart_cherry_a_Pp1_27702307,HiC_scaffold_1,97.02,168,4,1,1,168,32447876,32448042,2.00E-74,281,204,1,78.2,3
RosBREED_snp_tart_cherry_a_Pp1_27702307,HiC_scaffold_2,97.37,190,4,1,1,190,31466620,31466808,1.00E-86,322,204,1,78.2,3
RosBREED_snp_tart_cherry_a_Pp1_28152618,HiC_scaffold_3,96.57,204,6,1,1,204,30540988,30541190,4.00E-91,337,204,1,79.71,4
RosBREED_snp_tart_cherry_a_Pp1_28152618,HiC_scaffold_2,97.09,206,3,3,1,204,31897229,31897433,3.00E-93,344,204,1,79.71,4
RosBREED_snp_tart_cherry_a_Pp1_28152618,HiC_scaffold_1,96.57,204,6,1,1,204,32946153,32946355,4.00E-91,337,204,1,79.71,4
RosBREED_snp_tart_cherry_a_Pp1_29790334,HiC_scaffold_3,97.01,201,5,1,4,204,32254947,32255146,4.00E-91,337,204,1,85.35,3
RosBREED_snp_tart_cherry_a_Pp1_29790334,HiC_scaffold_1,96.52,201,6,1,4,204,34675155,34675354,2.00E-89,331,204,1,85.35,3
RosBREED_snp_tart_cherry_a_Pp1_29790334,HiC_scaffold_2,97.51,201,4,1,4,204,33585560,33585759,9.00E-93,342,204,1,85.35,3
RosBREED_snp_tart_cherry_a_Pp1_30065891,HiC_scaffold_3,97.07,205,4,2,1,204,32550557,32550760,3.00E-93,344,204,1,86.3,4
RosBREED_snp_tart_cherry_a_Pp1_30065891,HiC_scaffold_1,98.53,204,2,1,1,204,34972113,34972315,9.00E-98,359,204,1,86.3,4
RosBREED_snp_tart_cherry_a_Pp1_30065891,HiC_scaffold_2,98.04,204,3,1,1,204,33923166,33923368,4.00E-96,353,204,1,86.3,4
RosBREED_snp_tart_cherry_a_Pp1_30065891,HiC_scaffold_3,97.56,205,3,2,1,204,32675564,32675361,5.00E-95,350,204,1,86.3,4
RosBREED_snp_tart_cherry_a_Pp1_31449515,HiC_scaffold_1,97.07,205,3,3,1,204,36558545,36558747,9.00E-93,342,204,1,91.42,2
RosBREED_snp_tart_cherry_a_Pp1_31449515,HiC_scaffold_3,97.01,201,5,1,4,204,33824832,33825031,4.00E-91,337,204,1,91.42,2
RosBREED_snp_tart_cherry_a_Pp1_32036029,HiC_scaffold_2,95.21,167,5,2,1,167,35647647,35647810,3.00E-68,261,204,1,92.42,4
RosBREED_snp_tart_cherry_a_Pp1_32036029,HiC_scaffold_1,94.12,170,6,2,1,167,37168354,37168522,1.00E-66,255,204,1,92.42,4
RosBREED_snp_tart_cherry_a_Pp1_32036029,HiC_scaffold_3,93.49,169,8,3,1,167,34380325,34380492,2.00E-64,248,204,1,92.42,4
RosBREED_snp_tart_cherry_a_Pp1_32150023,HiC_scaffold_1,96.98,199,5,1,6,204,37293510,37293707,5.00E-90,333,204,1,92.42,3
RosBREED_snp_tart_cherry_a_Pp1_32150023,HiC_scaffold_2,97.55,204,4,1,1,204,35766766,35766968,2.00E-94,348,204,1,92.42,3
RosBREED_snp_tart_cherry_a_Pp1_32150023,HiC_scaffold_3,96.57,204,6,1,1,204,34486853,34487055,4.00E-91,337,204,1,92.42,3
RosBREED_snp_tart_cherry_a_Pp1_32319872,HiC_scaffold_3,96.57,204,6,1,1,204,34639188,34639390,4.00E-91,337,204,1,92.79,3
RosBREED_snp_tart_cherry_a_Pp1_32319872,HiC_scaffold_1,97.55,204,4,1,1,204,37445171,37445373,2.00E-94,348,204,1,92.79,3
RosBREED_snp_tart_cherry_a_Pp1_32319872,HiC_scaffold_2,96.57,204,6,1,1,204,35939917,35940119,4.00E-91,337,204,1,92.79,3
RosBREED_snp_tart_cherry_a_Pp1_32362282,HiC_scaffold_2,94.63,205,8,3,1,204,36002253,36002455,2.00E-84,315,204,1,92.9,3
RosBREED_snp_tart_cherry_a_Pp1_32362282,HiC_scaffold_3,96.59,205,4,3,1,204,34689564,34689766,4.00E-91,337,204,1,92.9,3
RosBREED_snp_tart_cherry_a_Pp1_32362282,HiC_scaffold_1,96.1,205,4,4,1,204,37492605,37492806,2.00E-89,331,204,1,92.9,3
RosBREED_snp_tart_cherry_a_Pp1_32442960,HiC_scaffold_1,96.57,204,6,1,1,204,37585931,37586133,4.00E-91,337,204,1,93.12,3
RosBREED_snp_tart_cherry_a_Pp1_32442960,HiC_scaffold_3,97.03,202,5,1,1,202,34786276,34786476,1.00E-91,339,204,1,93.12,3
RosBREED_snp_tart_cherry_a_Pp1_32442960,HiC_scaffold_2,97.06,204,5,1,1,204,36078119,36078321,9.00E-93,342,204,1,93.12,3
RosBREED_snp_tart_cherry_a_Pp1_32650257,HiC_scaffold_2,95.43,197,8,1,8,204,36283451,36283646,7.00E-84,313,204,1,94.18,3
RosBREED_snp_tart_cherry_a_Pp1_32650257,HiC_scaffold_1,95.94,197,7,1,8,204,37854560,37854755,2.00E-85,318,204,1,94.18,3
RosBREED_snp_tart_cherry_a_Pp1_32650257,HiC_scaffold_3,94.42,197,9,2,8,204,35033214,35033408,2.00E-80,302,204,1,94.18,3
RosBREED_snp_tart_cherry_a_Pp1_32853717,HiC_scaffold_3,99.02,204,1,1,1,204,35264806,35265008,2.00E-99,364,204,1,95.27,3
RosBREED_snp_tart_cherry_a_Pp1_32853717,HiC_scaffold_1,97.97,197,3,1,8,204,38091555,38091750,3.00E-92,340,204,1,95.27,3
RosBREED_snp_tart_cherry_a_Pp1_32853717,HiC_scaffold_2,99.02,204,1,1,1,204,36491652,36491854,2.00E-99,364,204,1,95.27,3
RosBREED_snp_tart_cherry_a_Pp1_33112319,HiC_scaffold_1,99.01,202,1,1,1,202,38461193,38461393,3.00E-98,361,204,1,96.35,3
RosBREED_snp_tart_cherry_a_Pp1_33112319,HiC_scaffold_2,97.07,205,4,2,1,204,36787684,36787887,3.00E-93,344,204,1,96.35,3
RosBREED_snp_tart_cherry_a_Pp1_33112319,HiC_scaffold_3,96.62,207,3,2,1,204,35586937,35587142,3.00E-92,340,204,1,96.35,3
RosBREED_snp_tart_cherry_a_Pp1_33251292,HiC_scaffold_1,97.09,206,3,2,1,204,38616523,38616727,3.00E-93,344,204,1,99.07,3
RosBREED_snp_tart_cherry_a_Pp1_33389101,HiC_scaffold_2,97.56,205,3,2,1,204,37094626,37094829,5.00E-95,350,204,1,101.67,3
RosBREED_snp_tart_cherry_a_Pp1_33389101,HiC_scaffold_1,97.56,205,3,2,1,204,38814772,38814975,5.00E-95,350,204,1,101.67,3
RosBREED_snp_tart_cherry_a_Pp1_34430805,HiC_scaffold_3,95.91,171,6,1,1,171,37066558,37066727,9.00E-73,276,204,1,103.47,3
RosBREED_snp_tart_cherry_a_Pp1_34430805,HiC_scaffold_1,95.32,171,7,1,1,171,40113453,40113622,4.00E-71,270,204,1,103.47,3
RosBREED_snp_tart_cherry_a_Pp1_34741316,HiC_scaffold_1,95.59,204,6,3,1,204,40489059,40489259,3.00E-87,324,204,1,105.04,3
RosBREED_snp_tart_cherry_a_Pp1_34741316,HiC_scaffold_2,98.53,204,2,1,1,204,38567104,38567306,9.00E-98,359,204,1,105.04,3
RosBREED_snp_tart_cherry_a_Pp1_34741316,HiC_scaffold_3,96.57,204,4,3,1,204,37446528,37446728,2.00E-90,335,204,1,105.04,3
RosBREED_snp_tart_cherry_a_Pp1_35808974,HiC_scaffold_3,97.06,204,5,1,1,204,38561794,38561996,9.00E-93,342,204,1,110.84,3
RosBREED_snp_tart_cherry_a_Pp1_35808974,HiC_scaffold_1,96.57,204,6,1,1,204,41672953,41673155,4.00E-91,337,204,1,110.84,3
RosBREED_snp_tart_cherry_a_Pp1_35808974,HiC_scaffold_2,96.08,204,7,1,1,204,39754051,39754253,2.00E-89,331,204,1,110.84,3
RosBREED_snp_tart_cherry_a_Pp1_35934755,HiC_scaffold_1,97.55,204,4,1,1,204,41784109,41784311,2.00E-94,348,204,1,111.37,3
RosBREED_snp_tart_cherry_a_Pp1_35934755,HiC_scaffold_2,97.06,204,4,2,1,204,39880237,39880438,9.00E-93,342,204,1,111.37,3
RosBREED_snp_tart_cherry_a_Pp1_35934755,HiC_scaffold_3,97.06,204,5,1,1,204,38689163,38689365,9.00E-93,342,204,1,111.37,3
RosBREED_snp_tart_cherry_a_Pp1_35996954,HiC_scaffold_2,98.53,204,2,1,1,204,39933520,39933722,9.00E-98,359,204,1,111.37,3
RosBREED_snp_tart_cherry_a_Pp1_35996954,HiC_scaffold_1,99.02,204,1,1,1,204,41851565,41851767,2.00E-99,364,204,1,111.37,3
RosBREED_snp_tart_cherry_a_Pp1_35996954,HiC_scaffold_3,98.53,204,2,1,1,204,38746373,38746575,9.00E-98,359,204,1,111.37,3
RosBREED_snp_tart_cherry_a_Pp1_36007399,HiC_scaffold_1,96.57,204,5,2,1,204,41865701,41865902,4.00E-91,337,204,1,111.37,3
RosBREED_snp_tart_cherry_a_Pp1_36007399,HiC_scaffold_3,96.08,204,6,2,1,204,38762812,38763013,2.00E-89,331,204,1,111.37,3
RosBREED_snp_tart_cherry_a_Pp1_36007399,HiC_scaffold_2,96.57,204,5,2,1,204,39944944,39945145,4.00E-91,337,204,1,111.37,3
RosBREED_snp_tart_cherry_a_Pp1_36919612,HiC_scaffold_3,97.06,204,5,1,1,204,39597969,39598171,9.00E-93,342,204,1,114,3
RosBREED_snp_tart_cherry_a_Pp1_36919612,HiC_scaffold_1,97.01,201,5,1,4,204,42963238,42963437,4.00E-91,337,204,1,114,3
RosBREED_snp_tart_cherry_a_Pp1_36919612,HiC_scaffold_2,98.04,204,3,1,1,204,40949053,40949255,4.00E-96,353,204,1,114,3
RosBREED_snp_tart_cherry_a_Pp1_36959467,HiC_scaffold_2,96.1,205,6,2,1,204,41012555,41012758,5.00E-90,333,204,1,114.18,3
RosBREED_snp_tart_cherry_a_Pp1_36959467,HiC_scaffold_3,97.06,204,5,1,1,204,39656359,39656561,9.00E-93,342,204,1,114.18,3
RosBREED_snp_tart_cherry_a_Pp1_36959467,HiC_scaffold_1,97.06,204,5,1,1,204,43009991,43010193,9.00E-93,342,204,1,114.18,3
RosBREED_snp_tart_cherry_a_Pp1_39372163,HiC_scaffold_1,98.03,203,2,2,1,202,45310097,45310298,2.00E-95,351,204,1,121.65,2
RosBREED_snp_tart_cherry_a_Pp1_39372163,HiC_scaffold_2,95.61,205,7,2,1,204,43307253,43307456,3.00E-88,327,204,1,121.65,2
RosBREED_snp_tart_cherry_a_Pp1_39776257,HiC_scaffold_1,97.55,204,4,1,1,204,45722081,45722283,2.00E-94,348,204,1,122.41,2
RosBREED_snp_tart_cherry_a_Pp1_39776257,HiC_scaffold_2,98.04,204,3,1,1,204,43802823,43803025,4.00E-96,353,204,1,122.41,2
RosBREED_snp_tart_cherry_a_Pp1_42037229,HiC_scaffold_3,98.04,204,3,1,1,204,47019505,47019707,4.00E-96,353,204,1,141.09,3
