Pcer_004238-RA Pfrut_003312-RA
Pcer_001263-RA Pfrut_032783-RA
Pcer_055281-RA Pfrut_006263-RA
Pcer_017644-RA Pfrut_076130-RA
Pcer_001122-RA Pfrut_015132-RA
Pcer_023069-RA Pfrut_049537-RA
Pcer_001211-RA Pfrut_015046-RA
Pcer_001914-RA Pfrut_014277-RA
Pcer_092936-RA Pfrut_041575-RA
Pcer_063111-RA Pfrut_010669-RA
Pcer_025745-RA Pfrut_078682-RA
Pcer_000667-RA Pfrut_015627-RA
Pcer_005271-RA Pfrut_035749-RA
Pcer_038328-RA Pfrut_000653-RA
Pcer_092750-RA Pfrut_080589-RA
Pcer_062411-RA Pfrut_045678-RA
Pcer_074941-RA Pfrut_063010-RA
Pcer_054106-RA Pfrut_087443-RA
Pcer_018691-RA Pfrut_081212-RA
Pcer_016739-RA Pfrut_053318-RA
Pcer_038493-RA Pfrut_000821-RA
Pcer_094048-RA Pfrut_009680-RA
Pcer_055074-RA Pfrut_028366-RA
Pcer_017691-RA Pfrut_095573-RA
Pcer_019453-RA Pfrut_007526-RA
Pcer_063032-RA Pfrut_010596-RA
Pcer_092098-RA Pfrut_079874-RA
Pcer_003474-RA Pfrut_062618-RA
Pcer_075361-RA Pfrut_031307-RA
Pcer_016215-RA Pfrut_029320-RA
Pcer_017769-RA Pfrut_101805-RA
Pcer_018253-RA Pfrut_069099-RA
Pcer_018409-RA Pfrut_011688-RA
Pcer_002265-RA Pfrut_086417-RA
Pcer_004630-RA Pfrut_002893-RA
Pcer_016916-RA Pfrut_024818-RA
Pcer_061483-RA Pfrut_072759-RA
Pcer_019252-RA Pfrut_078209-RA
Pcer_075904-RA Pfrut_063941-RA
Pcer_075886-RA Pfrut_063926-RA
Pcer_002846-RA Pfrut_059464-RA
Pcer_004806-RA Pfrut_002715-RA
Pcer_001847-RA Pfrut_014343-RA
Pcer_023830-RA Pfrut_010759-RA
Pcer_001459-RA Pfrut_014789-RA
Pcer_003440-RA Pfrut_081828-RA
Pcer_003905-RA Pfrut_054529-RA
Pcer_074248-RA Pfrut_017802-RA
Pcer_075906-RA Pfrut_063943-RA
Pcer_003660-RA Pfrut_056878-RA
Pcer_063115-RA Pfrut_010673-RA
Pcer_053744-RA Pfrut_088022-RA
Pcer_000245-RA Pfrut_032179-RA
Pcer_073897-RA Pfrut_036719-RA
Pcer_016968-RA Pfrut_024876-RA
Pcer_025163-RA Pfrut_099781-RA
Pcer_073974-RA Pfrut_049826-RA
Pcer_054908-RA Pfrut_025577-RA
Pcer_062607-RA Pfrut_073490-RA
Pcer_016550-RA Pfrut_053516-RA
Pcer_039776-RA Pfrut_002155-RA
Pcer_054713-RA Pfrut_022811-RA
Pcer_038220-RA Pfrut_000549-RA
Pcer_002277-RA Pfrut_086427-RA
Pcer_055118-RA Pfrut_028432-RA
Pcer_038240-RA Pfrut_000567-RA
Pcer_038154-RA Pfrut_000476-RA
Pcer_024956-RA Pfrut_024364-RA
Pcer_054022-RA Pfrut_091536-RA
Pcer_000219-RA Pfrut_057669-RA
Pcer_092696-RA Pfrut_080513-RA
Pcer_037706-RA Pfrut_051661-RA
Pcer_062315-RA Pfrut_045568-RA
Pcer_038572-RA Pfrut_000912-RA
Pcer_075763-RA Pfrut_060233-RA
Pcer_038255-RA Pfrut_000580-RA
Pcer_002240-RA Pfrut_086390-RA
Pcer_093560-RA Pfrut_005537-RA
Pcer_074614-RA Pfrut_084845-RA
Pcer_039605-RA Pfrut_001987-RA
Pcer_004887-RA Pfrut_002631-RA
Pcer_023132-RA Pfrut_027484-RA
Pcer_003713-RA Pfrut_074526-RA
Pcer_019336-RA Pfrut_007637-RA
Pcer_039420-RA Pfrut_001808-RA
Pcer_004732-RA Pfrut_002796-RA
Pcer_001186-RA Pfrut_083256-RA
Pcer_038743-RA Pfrut_001104-RA
Pcer_003812-RA Pfrut_022227-RA
Pcer_072828-RA Pfrut_055367-RA
Pcer_061668-RA Pfrut_073003-RA
Pcer_000629-RA Pfrut_031729-RA
Pcer_074517-RA Pfrut_096519-RA
Pcer_002180-RA Pfrut_086339-RA
Pcer_039497-RA Pfrut_001881-RA
Pcer_018507-RA Pfrut_011565-RA
Pcer_075681-RA Pfrut_069172-RA
Pcer_001214-RA Pfrut_015044-RA
Pcer_005301-RA Pfrut_035714-RA
Pcer_004400-RA Pfrut_003135-RA
Pcer_003762-RA Pfrut_056768-RA
Pcer_001266-RA Pfrut_032779-RA
Pcer_063053-RA Pfrut_010614-RA
Pcer_053985-RA Pfrut_091591-RA
Pcer_003332-RA Pfrut_070828-RA
Pcer_061466-RA Pfrut_072739-RA
Pcer_039705-RA Pfrut_002087-RA
Pcer_017879-RA Pfrut_078302-RA
Pcer_000348-RA Pfrut_032069-RA
Pcer_017367-RA Pfrut_016673-RA
Pcer_093260-RA Pfrut_021037-RA
Pcer_074784-RA Pfrut_062846-RA
Pcer_075890-RA Pfrut_063930-RA
Pcer_093006-RA Pfrut_092615-RA
Pcer_073357-RA Pfrut_017625-RA
Pcer_025319-RA Pfrut_088068-RA
Pcer_062240-RA Pfrut_045489-RA
Pcer_002764-RA Pfrut_027266-RA
Pcer_038490-RA Pfrut_000818-RA
Pcer_004294-RA Pfrut_003260-RA
Pcer_000744-RA Pfrut_015553-RA
Pcer_024595-RA Pfrut_006751-RA
Pcer_093594-RA Pfrut_005499-RA
Pcer_073953-RA Pfrut_049796-RA
Pcer_017110-RA Pfrut_039856-RA
Pcer_093197-RA Pfrut_021162-RA
Pcer_023751-RA Pfrut_066066-RA
Pcer_023036-RA Pfrut_049510-RA
Pcer_017902-RA Pfrut_101665-RA
Pcer_074066-RA Pfrut_020783-RA
Pcer_075005-RA Pfrut_013632-RA
Pcer_092410-RA Pfrut_080212-RA
Pcer_075375-RA Pfrut_031316-RA
Pcer_003365-RA Pfrut_081756-RA
Pcer_004582-RA Pfrut_002944-RA
Pcer_094651-RA Pfrut_030654-RA
Pcer_025733-RA Pfrut_078696-RA
Pcer_037792-RA Pfrut_040532-RA
Pcer_004745-RA Pfrut_002780-RA
Pcer_039488-RA Pfrut_001874-RA
Pcer_094888-RA Pfrut_031445-RA
Pcer_094190-RA Pfrut_009476-RA
Pcer_094849-RA Pfrut_072278-RA
Pcer_018368-RA Pfrut_011720-RA
Pcer_024499-RA Pfrut_093624-RA
Pcer_075921-RA Pfrut_063956-RA
Pcer_005114-RA Pfrut_002234-RA
Pcer_061653-RA Pfrut_058148-RA
Pcer_075235-RA Pfrut_095464-RA
Pcer_062209-RA Pfrut_045455-RA
Pcer_003537-RA Pfrut_048956-RA
Pcer_037921-RA Pfrut_000223-RA
Pcer_024938-RA Pfrut_024395-RA
Pcer_004791-RA Pfrut_002728-RA
Pcer_003755-RA Pfrut_074482-RA
Pcer_024718-RA Pfrut_093382-RA
Pcer_054548-RA Pfrut_076166-RA
Pcer_004655-RA Pfrut_002873-RA
Pcer_025660-RA Pfrut_078792-RA
Pcer_074493-RA Pfrut_017341-RA
Pcer_002065-RA Pfrut_086208-RA
Pcer_062017-RA Pfrut_031633-RA
Pcer_093851-RA Pfrut_005254-RA
Pcer_001908-RA Pfrut_014280-RA
Pcer_038206-RA Pfrut_000534-RA
Pcer_002205-RA Pfrut_086362-RA
Pcer_072831-RA Pfrut_055365-RA
Pcer_016121-RA Pfrut_029419-RA
Pcer_003414-RA Pfrut_081805-RA
Pcer_023671-RA Pfrut_037866-RA
Pcer_024618-RA Pfrut_006730-RA
Pcer_003894-RA Pfrut_056637-RA
Pcer_001007-RA Pfrut_015259-RA
Pcer_016339-RA Pfrut_053730-RA
Pcer_018214-RA Pfrut_049226-RA
Pcer_018518-RA Pfrut_011553-RA
Pcer_002339-RA Pfrut_086487-RA
Pcer_016789-RA Pfrut_053261-RA
Pcer_061518-RA Pfrut_072796-RA
Pcer_073973-RA Pfrut_049825-RA
Pcer_017724-RA Pfrut_020334-RA
Pcer_038903-RA Pfrut_001261-RA
Pcer_062784-RA Pfrut_046049-RA
Pcer_075309-RA Pfrut_013956-RA
Pcer_019231-RA Pfrut_007740-RA
Pcer_003424-RA Pfrut_054813-RA
Pcer_039446-RA Pfrut_001835-RA
Pcer_016542-RA Pfrut_053523-RA
Pcer_017821-RA Pfrut_016824-RA
Pcer_018125-RA Pfrut_049132-RA
Pcer_017358-RA Pfrut_016665-RA
Pcer_016800-RA Pfrut_053248-RA
Pcer_002325-RA Pfrut_086476-RA
Pcer_001207-RA Pfrut_015048-RA
Pcer_092643-RA Pfrut_080445-RA
Pcer_039510-RA Pfrut_001896-RA
Pcer_003751-RA Pfrut_074488-RA
Pcer_018625-RA Pfrut_078584-RA
Pcer_019280-RA Pfrut_007696-RA
Pcer_002097-RA Pfrut_059218-RA
Pcer_019042-RA Pfrut_080786-RA
Pcer_038824-RA Pfrut_044529-RA
Pcer_024055-RA Pfrut_094098-RA
Pcer_093911-RA Pfrut_022719-RA
Pcer_018196-RA Pfrut_049203-RA
Pcer_003565-RA Pfrut_009389-RA
Pcer_016989-RA Pfrut_024908-RA
Pcer_016734-RA Pfrut_053323-RA
Pcer_093633-RA Pfrut_005463-RA
Pcer_024922-RA Pfrut_024414-RA
Pcer_018688-RA Pfrut_081214-RA
Pcer_023391-RA Pfrut_030009-RA
Pcer_073577-RA Pfrut_036331-RA
Pcer_025161-RA Pfrut_099779-RA
Pcer_093755-RA Pfrut_005335-RA
Pcer_016284-RA Pfrut_029259-RA
Pcer_015826-RA Pfrut_022044-RA
Pcer_061640-RA Pfrut_072971-RA
Pcer_072749-RA Pfrut_046667-RA
Pcer_092456-RA Pfrut_043731-RA
Pcer_061986-RA Pfrut_073339-RA
Pcer_018207-RA Pfrut_049218-RA
Pcer_023306-RA Pfrut_029897-RA
Pcer_039700-RA Pfrut_002082-RA
Pcer_015883-RA Pfrut_021984-RA
Pcer_073522-RA Pfrut_036255-RA
Pcer_024439-RA Pfrut_043947-RA
Pcer_003715-RA Pfrut_056833-RA
Pcer_001002-RA Pfrut_015265-RA
Pcer_017599-RA Pfrut_041102-RA
Pcer_002900-RA Pfrut_059523-RA
Pcer_018785-RA Pfrut_081084-RA
Pcer_018379-RA Pfrut_011710-RA
Pcer_000443-RA Pfrut_031965-RA
Pcer_023761-RA Pfrut_056168-RA
Pcer_038524-RA Pfrut_000852-RA
Pcer_005287-RA Pfrut_099567-RA
Pcer_016816-RA Pfrut_062074-RA
Pcer_062316-RA Pfrut_045569-RA
Pcer_002599-RA Pfrut_022289-RA
Pcer_092096-RA Pfrut_079872-RA
Pcer_001729-RA Pfrut_014486-RA
Pcer_001228-RA Pfrut_015028-RA
Pcer_016011-RA Pfrut_021835-RA
Pcer_053746-RA Pfrut_088024-RA
Pcer_004452-RA Pfrut_003073-RA
Pcer_001635-RA Pfrut_014604-RA
Pcer_019145-RA Pfrut_007816-RA
Pcer_062417-RA Pfrut_045684-RA
Pcer_061430-RA Pfrut_097241-RA
Pcer_001779-RA Pfrut_014414-RA
Pcer_074845-RA Pfrut_062910-RA
Pcer_037662-RA Pfrut_051720-RA
Pcer_039623-RA Pfrut_002001-RA
Pcer_092832-RA Pfrut_088502-RA
Pcer_000899-RA Pfrut_015380-RA
Pcer_024119-RA Pfrut_009990-RA
Pcer_016999-RA Pfrut_024919-RA
Pcer_062719-RA Pfrut_029584-RA
Pcer_075303-RA Pfrut_013950-RA
Pcer_002215-RA Pfrut_086369-RA
Pcer_039777-RA Pfrut_002156-RA
Pcer_017015-RA Pfrut_024937-RA
Pcer_002891-RA Pfrut_059511-RA
Pcer_018628-RA Pfrut_078587-RA
Pcer_055055-RA Pfrut_028347-RA
Pcer_016938-RA Pfrut_024841-RA
Pcer_038700-RA Pfrut_001059-RA
Pcer_094535-RA Pfrut_030794-RA
Pcer_062450-RA Pfrut_056223-RA
Pcer_092701-RA Pfrut_080517-RA
Pcer_024970-RA Pfrut_024346-RA
Pcer_075300-RA Pfrut_013948-RA
Pcer_002504-RA Pfrut_053079-RA
Pcer_039650-RA Pfrut_002029-RA
Pcer_003761-RA Pfrut_056770-RA
Pcer_003059-RA Pfrut_081474-RA
Pcer_000430-RA Pfrut_031982-RA
Pcer_093190-RA Pfrut_021172-RA
Pcer_016832-RA Pfrut_018714-RA
Pcer_018038-RA Pfrut_041889-RA
Pcer_061876-RA Pfrut_073229-RA
Pcer_019171-RA Pfrut_007798-RA
Pcer_073464-RA Pfrut_060454-RA
Pcer_074593-RA Pfrut_100707-RA
Pcer_025728-RA Pfrut_078701-RA
Pcer_001831-RA Pfrut_014360-RA
Pcer_025078-RA Pfrut_020612-RA
Pcer_039209-RA Pfrut_001576-RA
Pcer_004739-RA Pfrut_002787-RA
Pcer_004881-RA Pfrut_002635-RA
Pcer_002820-RA Pfrut_007312-RA
Pcer_017751-RA Pfrut_016763-RA
Pcer_018853-RA Pfrut_054318-RA
Pcer_003533-RA Pfrut_048952-RA
Pcer_024360-RA Pfrut_093775-RA
Pcer_003488-RA Pfrut_062606-RA
Pcer_019128-RA Pfrut_080706-RA
Pcer_076016-RA Pfrut_064058-RA
Pcer_092308-RA Pfrut_080097-RA
Pcer_039740-RA Pfrut_002120-RA
Pcer_061641-RA Pfrut_072972-RA
Pcer_092105-RA Pfrut_079882-RA
Pcer_039069-RA Pfrut_001437-RA
Pcer_018115-RA Pfrut_049120-RA
Pcer_074875-RA Pfrut_062935-RA
Pcer_000195-RA Pfrut_099353-RA
Pcer_039721-RA Pfrut_002099-RA
Pcer_075679-RA Pfrut_069170-RA
Pcer_061239-RA Pfrut_065875-RA
Pcer_039579-RA Pfrut_001964-RA
Pcer_093735-RA Pfrut_005356-RA
Pcer_003648-RA Pfrut_056889-RA
Pcer_024316-RA Pfrut_093826-RA
Pcer_016233-RA Pfrut_025045-RA
Pcer_037816-RA Pfrut_000097-RA
Pcer_061593-RA Pfrut_072905-RA
Pcer_016386-RA Pfrut_053685-RA
Pcer_002147-RA Pfrut_086303-RA
Pcer_039057-RA Pfrut_001426-RA
Pcer_074348-RA Pfrut_020845-RA
Pcer_039400-RA Pfrut_001786-RA
Pcer_016477-RA Pfrut_053598-RA
Pcer_039704-RA Pfrut_002086-RA
Pcer_016401-RA Pfrut_079692-RA
Pcer_004220-RA Pfrut_003331-RA
Pcer_017014-RA Pfrut_024936-RA
Pcer_025750-RA Pfrut_078673-RA
Pcer_018590-RA Pfrut_011462-RA
Pcer_004720-RA Pfrut_002805-RA
Pcer_023435-RA Pfrut_030060-RA
Pcer_093759-RA Pfrut_005331-RA
Pcer_039447-RA Pfrut_001834-RA
Pcer_018989-RA Pfrut_027499-RA
Pcer_003747-RA Pfrut_074491-RA
Pcer_004778-RA Pfrut_002740-RA
Pcer_038460-RA Pfrut_000789-RA
Pcer_094478-RA Pfrut_031074-RA
Pcer_094801-RA Pfrut_072333-RA
Pcer_019104-RA Pfrut_050253-RA
Pcer_060584-RA Pfrut_035521-RA
Pcer_000923-RA Pfrut_015356-RA
Pcer_018398-RA Pfrut_011696-RA
Pcer_018367-RA Pfrut_011721-RA
Pcer_062745-RA Pfrut_046017-RA
Pcer_005217-RA Pfrut_035814-RA
Pcer_062601-RA Pfrut_073485-RA
Pcer_002718-RA Pfrut_054596-RA
Pcer_016799-RA Pfrut_053250-RA
Pcer_024022-RA Pfrut_094134-RA
Pcer_037805-RA Pfrut_000081-RA
Pcer_075495-RA Pfrut_063536-RA
Pcer_017282-RA Pfrut_040075-RA
Pcer_093953-RA Pfrut_010300-RA
Pcer_092457-RA Pfrut_043730-RA
Pcer_004113-RA Pfrut_003427-RA
Pcer_053780-RA Pfrut_062192-RA
Pcer_023662-RA Pfrut_024098-RA
Pcer_002904-RA Pfrut_059527-RA
Pcer_055262-RA Pfrut_014023-RA
Pcer_062509-RA Pfrut_077777-RA
Pcer_061413-RA Pfrut_097223-RA
Pcer_093646-RA Pfrut_005451-RA
Pcer_019390-RA Pfrut_007580-RA
Pcer_062320-RA Pfrut_045573-RA
Pcer_061159-RA Pfrut_013062-RA
Pcer_075884-RA Pfrut_063923-RA
Pcer_016217-RA Pfrut_029318-RA
Pcer_093233-RA Pfrut_021122-RA
Pcer_093458-RA Pfrut_005656-RA
Pcer_003888-RA Pfrut_087154-RA
Pcer_061865-RA Pfrut_073217-RA
Pcer_037429-RA Pfrut_044294-RA
Pcer_004545-RA Pfrut_075049-RA
Pcer_001775-RA Pfrut_014418-RA
Pcer_093194-RA Pfrut_057291-RA
Pcer_039242-RA Pfrut_001604-RA
Pcer_075246-RA Pfrut_013892-RA
Pcer_025031-RA Pfrut_053138-RA
Pcer_016310-RA Pfrut_053757-RA
Pcer_024711-RA Pfrut_093389-RA
Pcer_053979-RA Pfrut_087285-RA
Pcer_061636-RA Pfrut_072967-RA
Pcer_023304-RA Pfrut_029895-RA
Pcer_000419-RA Pfrut_041332-RA
Pcer_074766-RA Pfrut_062823-RA
Pcer_023266-RA Pfrut_029853-RA
Pcer_074918-RA Pfrut_062986-RA
Pcer_054765-RA Pfrut_048559-RA
Pcer_018238-RA Pfrut_011850-RA
Pcer_062674-RA Pfrut_045944-RA
Pcer_092783-RA Pfrut_008496-RA
Pcer_004861-RA Pfrut_002659-RA
Pcer_038807-RA Pfrut_001173-RA
Pcer_075628-RA Pfrut_063674-RA
Pcer_023187-RA Pfrut_029767-RA
Pcer_038588-RA Pfrut_049668-RA
Pcer_038694-RA Pfrut_079642-RA
Pcer_000955-RA Pfrut_070111-RA
Pcer_003467-RA Pfrut_081856-RA
Pcer_017371-RA Pfrut_085065-RA
Pcer_004635-RA Pfrut_002889-RA
Pcer_025773-RA Pfrut_078651-RA
Pcer_039708-RA Pfrut_002090-RA
Pcer_038464-RA Pfrut_000793-RA
Pcer_073071-RA FUN_008477-T1
Pcer_094735-RA Pfrut_030550-RA
Pcer_075974-RA Pfrut_064011-RA
Pcer_003633-RA Pfrut_056907-RA
Pcer_000189-RA Pfrut_032229-RA
Pcer_061728-RA Pfrut_074257-RA
Pcer_024395-RA Pfrut_093742-RA
Pcer_016191-RA Pfrut_029346-RA
Pcer_004882-RA Pfrut_002634-RA
Pcer_092461-RA Pfrut_043726-RA
Pcer_073634-RA Pfrut_036401-RA
Pcer_075840-RA Pfrut_063885-RA
Pcer_038980-RA Pfrut_001348-RA
Pcer_003906-RA Pfrut_054530-RA
Pcer_001021-RA Pfrut_015245-RA
Pcer_074992-RA Pfrut_013614-RA
Pcer_015948-RA Pfrut_021914-RA
Pcer_018090-RA Pfrut_049095-RA
Pcer_062775-RA Pfrut_046041-RA
Pcer_023277-RA Pfrut_029862-RA
Pcer_002416-RA Pfrut_086560-RA
Pcer_001310-RA Pfrut_099291-RA
Pcer_039164-RA Pfrut_001536-RA
Pcer_001056-RA Pfrut_015206-RA
Pcer_000701-RA Pfrut_015666-RA
Pcer_037830-RA Pfrut_006909-RA
Pcer_072842-RA Pfrut_055345-RA
Pcer_075916-RA Pfrut_063951-RA
Pcer_018534-RA Pfrut_011532-RA
Pcer_019332-RA Pfrut_007643-RA
Pcer_039606-RA Pfrut_001989-RA
Pcer_004146-RA Pfrut_032351-RA
Pcer_094705-RA Pfrut_030586-RA
Pcer_003002-RA Pfrut_081405-RA
Pcer_092590-RA Pfrut_080385-RA
Pcer_024485-RA Pfrut_093637-RA
Pcer_001935-RA Pfrut_086064-RA
Pcer_075918-RA Pfrut_063953-RA
Pcer_075858-RA Pfrut_063901-RA
Pcer_019064-RA Pfrut_050291-RA
Pcer_039753-RA Pfrut_002134-RA
Pcer_002818-RA Pfrut_007307-RA
Pcer_016786-RA Pfrut_053265-RA
Pcer_061594-RA Pfrut_072907-RA
Pcer_018460-RA Pfrut_011616-RA
Pcer_017620-RA Pfrut_041074-RA
Pcer_025714-RA Pfrut_078718-RA
Pcer_074519-RA Pfrut_096521-RA
Pcer_001174-RA Pfrut_015079-RA
Pcer_003657-RA Pfrut_056881-RA
Pcer_075491-RA Pfrut_063533-RA
Pcer_075853-RA Pfrut_063898-RA
Pcer_053726-RA Pfrut_087997-RA
Pcer_002034-RA Pfrut_086175-RA
Pcer_062415-RA Pfrut_045682-RA
Pcer_039599-RA Pfrut_071780-RA
Pcer_038176-RA Pfrut_059938-RA
Pcer_062612-RA Pfrut_073497-RA
Pcer_075142-RA Pfrut_013793-RA
Pcer_039168-RA Pfrut_084877-RA
Pcer_023762-RA Pfrut_056169-RA
Pcer_018543-RA Pfrut_011520-RA
Pcer_061462-RA Pfrut_072735-RA
Pcer_002903-RA Pfrut_059526-RA
Pcer_053408-RA Pfrut_057573-RA
Pcer_019191-RA Pfrut_007782-RA
Pcer_002898-RA Pfrut_059521-RA
Pcer_061909-RA Pfrut_073267-RA
Pcer_093524-RA Pfrut_013256-RA
Pcer_039499-RA Pfrut_001883-RA
Pcer_002212-RA Pfrut_086366-RA
Pcer_017562-RA Pfrut_034677-RA
Pcer_038936-RA Pfrut_001296-RA
Pcer_000804-RA Pfrut_015471-RA
Pcer_039418-RA Pfrut_001805-RA
Pcer_018033-RA Pfrut_101511-RA
Pcer_025514-RA Pfrut_097800-RA
Pcer_000966-RA Pfrut_015306-RA
Pcer_000985-RA Pfrut_015292-RA
Pcer_018279-RA Pfrut_011814-RA
Pcer_001170-RA Pfrut_015083-RA
Pcer_002357-RA Pfrut_086504-RA
Pcer_002474-RA Pfrut_101447-RA
Pcer_092660-RA Pfrut_080470-RA
Pcer_018532-RA Pfrut_011534-RA
Pcer_000555-RA Pfrut_025147-RA
Pcer_061419-RA Pfrut_062104-RA
Pcer_018113-RA Pfrut_049118-RA
Pcer_075297-RA Pfrut_013946-RA
Pcer_060657-RA Pfrut_035461-RA
Pcer_002335-RA Pfrut_086485-RA
Pcer_003302-RA Pfrut_070974-RA
Pcer_038982-RA Pfrut_001350-RA
Pcer_073879-RA Pfrut_088096-RA
Pcer_092736-RA Pfrut_080573-RA
Pcer_061840-RA Pfrut_073194-RA
Pcer_003792-RA Pfrut_056741-RA
Pcer_094837-RA Pfrut_072291-RA
Pcer_093231-RA Pfrut_021124-RA
Pcer_092111-RA Pfrut_079887-RA
Pcer_092786-RA Pfrut_008500-RA
Pcer_001258-RA Pfrut_032787-RA
Pcer_039432-RA Pfrut_001821-RA
Pcer_060796-RA Pfrut_035319-RA
Pcer_004474-RA Pfrut_003051-RA
Pcer_023601-RA Pfrut_013162-RA
Pcer_003668-RA Pfrut_056871-RA
Pcer_073206-RA Pfrut_054945-RA
Pcer_038162-RA Pfrut_054823-RA
Pcer_016785-RA Pfrut_053266-RA
Pcer_062135-RA Pfrut_045381-RA
Pcer_019085-RA Pfrut_050271-RA
Pcer_037710-RA Pfrut_051658-RA
Pcer_023646-RA Pfrut_037840-RA
Pcer_003925-RA Pfrut_056606-RA
Pcer_094016-RA Pfrut_009716-RA
Pcer_000669-RA Pfrut_015631-RA
Pcer_093679-RA Pfrut_005418-RA
Pcer_062991-RA Pfrut_014034-RA
Pcer_075136-RA Pfrut_013787-RA
Pcer_062734-RA Pfrut_046007-RA
Pcer_061651-RA Pfrut_072982-RA
Pcer_061337-RA Pfrut_097131-RA
Pcer_018599-RA Pfrut_011452-RA
Pcer_018153-RA Pfrut_049153-RA
Pcer_023329-RA Pfrut_029932-RA
Pcer_003289-RA Pfrut_081693-RA
Pcer_039638-RA Pfrut_002016-RA
Pcer_062906-RA Pfrut_046169-RA
Pcer_016764-RA Pfrut_053288-RA
Pcer_003485-RA Pfrut_081874-RA
Pcer_061723-RA Pfrut_074263-RA
Pcer_004757-RA Pfrut_002766-RA
Pcer_092788-RA Pfrut_008502-RA
Pcer_039794-RA Pfrut_002175-RA
Pcer_024312-RA Pfrut_093830-RA
Pcer_023307-RA Pfrut_029898-RA
Pcer_001024-RA Pfrut_015242-RA
Pcer_038032-RA Pfrut_000337-RA
Pcer_016027-RA Pfrut_021815-RA
Pcer_075304-RA Pfrut_013951-RA
Pcer_075336-RA Pfrut_031283-RA
Pcer_038456-RA Pfrut_000784-RA
Pcer_003469-RA Pfrut_081858-RA
Pcer_002512-RA Pfrut_086666-RA
Pcer_075038-RA Pfrut_013667-RA
Pcer_055283-RA Pfrut_006265-RA
Pcer_001212-RA Pfrut_015045-RA
Pcer_092311-RA Pfrut_080100-RA
Pcer_039539-RA Pfrut_012143-RA
Pcer_018960-RA Pfrut_080868-RA
Pcer_002033-RA Pfrut_086174-RA
Pcer_001023-RA Pfrut_015243-RA
Pcer_054919-RA Pfrut_037149-RA
Pcer_002281-RA Pfrut_086431-RA
Pcer_093805-RA Pfrut_005289-RA
Pcer_018391-RA Pfrut_011700-RA
Pcer_075643-RA Pfrut_063689-RA
Pcer_002638-RA Pfrut_086809-RA
Pcer_094792-RA Pfrut_034106-RA
Pcer_004040-RA Pfrut_003509-RA
Pcer_018506-RA Pfrut_011566-RA
Pcer_001946-RA Pfrut_086082-RA
Pcer_024370-RA Pfrut_018035-RA
Pcer_094712-RA Pfrut_030574-RA
Pcer_000922-RA Pfrut_015357-RA
Pcer_075029-RA Pfrut_013657-RA
Pcer_002264-RA Pfrut_086416-RA
Pcer_038288-RA Pfrut_013394-RA
Pcer_001960-RA Pfrut_086094-RA
Pcer_092885-RA Pfrut_092764-RA
Pcer_075633-RA Pfrut_063679-RA
Pcer_024918-RA Pfrut_024418-RA
Pcer_003817-RA Pfrut_056719-RA
Pcer_019108-RA Pfrut_080725-RA
