Pcer_069968-RA Pfrut_059040-RA
Pcer_043115-RA Pfrut_101976-RA
Pcer_059484-RA Pfrut_044572-RA
Pcer_006024-RA Pfrut_098086-RA
Pcer_009431-RA Pfrut_078335-RA
Pcer_044052-RA Pfrut_057159-RA
Pcer_088430-RA Pfrut_041816-RA
Pcer_058295-RA Pfrut_087429-RA
Pcer_070891-RA Pfrut_042907-RA
Pcer_070467-RA Pfrut_010158-RA
Pcer_010155-RA Pfrut_003797-RA
Pcer_070968-RA Pfrut_079450-RA
Pcer_006635-RA Pfrut_098790-RA
Pcer_069981-RA Pfrut_082082-RA
Pcer_058240-RA Pfrut_025062-RA
Pcer_042488-RA Pfrut_018758-RA
Pcer_059753-RA Pfrut_028640-RA
Pcer_059837-RA Pfrut_048850-RA
Pcer_043223-RA Pfrut_050421-RA
Pcer_008511-RA Pfrut_089648-RA
Pcer_006505-RA Pfrut_098654-RA
Pcer_008291-RA Pfrut_089403-RA
Pcer_069885-RA Pfrut_058954-RA
Pcer_069303-RA Pfrut_021512-RA
Pcer_070227-RA Pfrut_042213-RA
Pcer_081213-RA Pfrut_082969-RA
Pcer_080380-RA Pfrut_095192-RA
Pcer_006580-RA Pfrut_078971-RA
Pcer_088085-RA Pfrut_047667-RA
Pcer_049391-RA Pfrut_083835-RA
Pcer_081535-RA Pfrut_082635-RA
Pcer_006066-RA Pfrut_088759-RA
Pcer_010477-RA Pfrut_004251-RA
Pcer_088098-RA Pfrut_047680-RA
Pcer_087886-RA Pfrut_047444-RA
Pcer_048744-RA Pfrut_077687-RA
Pcer_070160-RA Pfrut_042148-RA
Pcer_080970-RA Pfrut_094599-RA
Pcer_042429-RA Pfrut_083075-RA
Pcer_049363-RA Pfrut_083813-RA
Pcer_059510-RA Pfrut_070362-RA
Pcer_027382-RA Pfrut_067344-RA
Pcer_043264-RA Pfrut_050466-RA
Pcer_080340-RA Pfrut_095225-RA
Pcer_069553-RA Pfrut_052318-RA
Pcer_049314-RA Pfrut_047826-RA
Pcer_046998-RA Pfrut_074100-RA
Pcer_008151-RA Pfrut_089261-RA
Pcer_087235-RA Pfrut_050231-RA
Pcer_008649-RA Pfrut_089786-RA
Pcer_088675-RA Pfrut_023495-RA
Pcer_010221-RA Pfrut_084902-RA
Pcer_043938-RA Pfrut_038482-RA
Pcer_042611-RA Pfrut_018632-RA
Pcer_008945-RA Pfrut_020101-RA
Pcer_044735-RA Pfrut_039286-RA
Pcer_007563-RA Pfrut_033458-RA
Pcer_071087-RA Pfrut_043105-RA
Pcer_008060-RA Pfrut_089169-RA
Pcer_006479-RA Pfrut_030135-RA
Pcer_081223-RA Pfrut_082952-RA
Pcer_006784-RA Pfrut_098961-RA
Pcer_008616-RA Pfrut_057419-RA
Pcer_069463-RA Pfrut_071729-RA
Pcer_005480-RA Pfrut_071227-RA
Pcer_049395-RA Pfrut_083839-RA
Pcer_089875-RA Pfrut_069613-RA
Pcer_048347-RA Pfrut_077290-RA
Pcer_006651-RA Pfrut_098806-RA
Pcer_005516-RA Pfrut_071270-RA
Pcer_044913-RA Pfrut_039459-RA
Pcer_069961-RA Pfrut_059033-RA
Pcer_042655-RA Pfrut_053194-RA
Pcer_082522-RA Pfrut_026199-RA
Pcer_047993-RA Pfrut_088705-RA
Pcer_048929-RA Pfrut_068824-RA
Pcer_043885-RA Pfrut_038420-RA
Pcer_042264-RA Pfrut_019027-RA
Pcer_028425-RA Pfrut_066258-RA
Pcer_026911-RA Pfrut_067858-RA
Pcer_059570-RA Pfrut_070446-RA
Pcer_026845-RA Pfrut_100644-RA
Pcer_005637-RA Pfrut_071414-RA
Pcer_087565-RA Pfrut_047120-RA
Pcer_006275-RA Pfrut_098392-RA
Pcer_028050-RA Pfrut_066650-RA
Pcer_027433-RA Pfrut_067301-RA
Pcer_007557-RA Pfrut_033465-RA
Pcer_006298-RA Pfrut_098408-RA
Pcer_081439-RA Pfrut_082730-RA
Pcer_027250-RA Pfrut_043447-RA
Pcer_007940-RA Pfrut_033748-RA
Pcer_007488-RA Pfrut_071841-RA
Pcer_088660-RA Pfrut_049713-RA
Pcer_026772-RA Pfrut_068016-RA
Pcer_027109-RA Pfrut_067641-RA
Pcer_028264-RA Pfrut_065563-RA
Pcer_010050-RA Pfrut_003686-RA
Pcer_006691-RA Pfrut_098853-RA
Pcer_069410-RA Pfrut_071663-RA
Pcer_087623-RA Pfrut_047186-RA
Pcer_047361-RA Pfrut_100330-RA
Pcer_027430-RA Pfrut_067304-RA
Pcer_069304-RA Pfrut_021511-RA
Pcer_048760-RA Pfrut_077702-RA
Pcer_008966-RA Pfrut_020085-RA
Pcer_069881-RA Pfrut_095353-RA
Pcer_048015-RA Pfrut_076909-RA
Pcer_043865-RA Pfrut_038403-RA
Pcer_006033-RA Pfrut_017030-RA
Pcer_080335-RA Pfrut_095231-RA
Pcer_069729-RA Pfrut_052539-RA
Pcer_069753-RA Pfrut_084518-RA
Pcer_007428-RA Pfrut_065440-RA
Pcer_026760-RA Pfrut_068028-RA
Pcer_028166-RA Pfrut_066530-RA
Pcer_069017-RA Pfrut_008060-RA
Pcer_070896-RA Pfrut_042911-RA
Pcer_008063-RA Pfrut_089172-RA
Pcer_006583-RA Pfrut_078973-RA
Pcer_043846-RA Pfrut_038385-RA
Pcer_007543-RA Pfrut_033480-RA
Pcer_010509-RA Pfrut_004215-RA
Pcer_048753-RA Pfrut_077697-RA
Pcer_081941-RA Pfrut_026822-RA
Pcer_008914-RA Pfrut_090053-RA
Pcer_006638-RA Pfrut_098793-RA
Pcer_049339-RA Pfrut_078629-RA
Pcer_058198-RA Pfrut_034501-RA
Pcer_008510-RA Pfrut_089647-RA
Pcer_047815-RA Pfrut_065757-RA
Pcer_028358-RA Pfrut_090361-RA
Pcer_043445-RA Pfrut_050656-RA
Pcer_007956-RA Pfrut_033765-RA
Pcer_044570-RA Pfrut_039136-RA
Pcer_007534-RA Pfrut_033492-RA
Pcer_048844-RA Pfrut_077781-RA
Pcer_088155-RA Pfrut_096266-RA
Pcer_068595-RA Pfrut_046417-RA
Pcer_082731-RA Pfrut_026000-RA
Pcer_009173-RA Pfrut_019878-RA
Pcer_009850-RA Pfrut_088714-RA
Pcer_009445-RA Pfrut_040112-RA
Pcer_006122-RA Pfrut_098222-RA
Pcer_007775-RA Pfrut_033571-RA
Pcer_081979-RA Pfrut_026769-RA
Pcer_088684-RA Pfrut_023486-RA
Pcer_069189-RA Pfrut_021640-RA
Pcer_008042-RA Pfrut_089149-RA
Pcer_042770-RA Pfrut_018444-RA
Pcer_088329-RA Pfrut_096046-RA
Pcer_080348-RA Pfrut_095216-RA
Pcer_027809-RA Pfrut_066913-RA
Pcer_043475-RA Pfrut_050685-RA
Pcer_007471-RA Pfrut_033236-RA
Pcer_087563-RA Pfrut_047118-RA
Pcer_081313-RA Pfrut_082847-RA
Pcer_070618-RA Pfrut_084375-RA
Pcer_089287-RA Pfrut_058587-RA
Pcer_027196-RA Pfrut_071821-RA
Pcer_089725-RA Pfrut_069455-RA
Pcer_083116-RA Pfrut_074821-RA
Pcer_009899-RA Pfrut_092819-RA
Pcer_028159-RA Pfrut_066540-RA
Pcer_007835-RA Pfrut_033634-RA
Pcer_005706-RA Pfrut_088086-RA
Pcer_089278-RA Pfrut_058579-RA
Pcer_006881-RA Pfrut_099092-RA
Pcer_071141-RA Pfrut_043157-RA
Pcer_089923-RA Pfrut_069668-RA
Pcer_071120-RA Pfrut_043137-RA
Pcer_070483-RA Pfrut_042487-RA
Pcer_044887-RA Pfrut_039441-RA
Pcer_026586-RA Pfrut_068206-RA
Pcer_048356-RA Pfrut_077300-RA
Pcer_027523-RA Pfrut_067214-RA
Pcer_049358-RA Pfrut_083808-RA
Pcer_009953-RA Pfrut_019080-RA
Pcer_008905-RA Pfrut_090045-RA
Pcer_009807-RA Pfrut_019226-RA
Pcer_005489-RA Pfrut_071236-RA
Pcer_008734-RA Pfrut_089869-RA
Pcer_041616-RA Pfrut_085817-RA
Pcer_069964-RA Pfrut_059036-RA
Pcer_009744-RA Pfrut_019288-RA
Pcer_068404-RA Pfrut_075279-RA
Pcer_026897-RA Pfrut_067872-RA
Pcer_007457-RA Pfrut_033222-RA
Pcer_068168-RA Pfrut_006401-RA
Pcer_027545-RA Pfrut_067199-RA
Pcer_010164-RA Pfrut_003810-RA
Pcer_081053-RA Pfrut_094520-RA
Pcer_082000-RA Pfrut_026749-RA
Pcer_071160-RA Pfrut_043176-RA
Pcer_027615-RA Pfrut_067121-RA
Pcer_043758-RA Pfrut_038287-RA
Pcer_044315-RA Pfrut_038883-RA
Pcer_044024-RA Pfrut_038572-RA
Pcer_007670-RA Pfrut_017091-RA
Pcer_042593-RA Pfrut_011392-RA
Pcer_005734-RA Pfrut_071521-RA
Pcer_007340-RA Pfrut_010430-RA
Pcer_089091-RA Pfrut_040136-RA
Pcer_069204-RA Pfrut_021622-RA
Pcer_069461-RA Pfrut_071727-RA
Pcer_080474-RA Pfrut_095085-RA
Pcer_027593-RA Pfrut_067146-RA
Pcer_081239-RA Pfrut_082936-RA
Pcer_008893-RA Pfrut_090032-RA
Pcer_044716-RA Pfrut_039266-RA
Pcer_008599-RA Pfrut_057433-RA
Pcer_042255-RA Pfrut_019037-RA
Pcer_043391-RA Pfrut_050602-RA
Pcer_042961-RA Pfrut_018212-RA
Pcer_042494-RA Pfrut_018753-RA
Pcer_043308-RA Pfrut_050512-RA
Pcer_007686-RA Pfrut_017081-RA
Pcer_006578-RA Pfrut_078970-RA
Pcer_049155-RA Pfrut_083569-RA
Pcer_008902-RA Pfrut_090040-RA
Pcer_009747-RA Pfrut_019284-RA
Pcer_044113-RA Pfrut_084802-RA
Pcer_059588-RA Pfrut_070429-RA
Pcer_026563-RA Pfrut_068229-RA
Pcer_007353-RA Pfrut_017107-RA
Pcer_027511-RA Pfrut_067224-RA
Pcer_081477-RA Pfrut_060266-RA
Pcer_048759-RA Pfrut_077701-RA
Pcer_008731-RA Pfrut_089866-RA
Pcer_059416-RA Pfrut_027597-RA
Pcer_042673-RA Pfrut_018558-RA
Pcer_042426-RA Pfrut_083078-RA
Pcer_028458-RA Pfrut_066231-RA
Pcer_005509-RA Pfrut_071260-RA
Pcer_044539-RA Pfrut_039097-RA
Pcer_048462-RA Pfrut_077408-RA
Pcer_059392-RA Pfrut_028308-RA
Pcer_007256-RA Pfrut_017214-RA
Pcer_059542-RA Pfrut_071981-RA
Pcer_080743-RA Pfrut_094820-RA
Pcer_057887-RA Pfrut_090959-RA
Pcer_041507-RA Pfrut_085930-RA
Pcer_047985-RA Pfrut_076874-RA
Pcer_068099-RA Pfrut_006313-RA
Pcer_048835-RA Pfrut_077772-RA
Pcer_087599-RA Pfrut_047159-RA
Pcer_048298-RA Pfrut_079038-RA
Pcer_043753-RA Pfrut_038282-RA
Pcer_042715-RA Pfrut_018504-RA
Pcer_088222-RA Pfrut_096172-RA
Pcer_048738-RA Pfrut_077681-RA
Pcer_070595-RA Pfrut_042608-RA
Pcer_049192-RA Pfrut_030258-RA
Pcer_008868-RA Pfrut_090010-RA
Pcer_006393-RA Pfrut_098528-RA
Pcer_043182-RA Pfrut_101383-RA
Pcer_087285-RA Pfrut_046806-RA
Pcer_048993-RA Pfrut_083398-RA
Pcer_043916-RA Pfrut_038456-RA
Pcer_082093-RA Pfrut_026641-RA
Pcer_005833-RA Pfrut_060601-RA
Pcer_082433-RA Pfrut_026289-RA
Pcer_006335-RA Pfrut_098455-RA
Pcer_005903-RA Pfrut_073733-RA
Pcer_081144-RA Pfrut_094417-RA
Pcer_027207-RA Pfrut_067538-RA
Pcer_089762-RA Pfrut_069493-RA
Pcer_010494-RA Pfrut_004233-RA
Pcer_081580-RA Pfrut_082572-RA
Pcer_042513-RA Pfrut_018734-RA
Pcer_088988-RA Pfrut_023154-RA
Pcer_048640-RA Pfrut_090531-RA
Pcer_006277-RA Pfrut_098394-RA
Pcer_007834-RA Pfrut_033633-RA
Pcer_043854-RA Pfrut_038394-RA
Pcer_069967-RA Pfrut_059039-RA
Pcer_089138-RA Pfrut_022986-RA
Pcer_087540-RA Pfrut_047096-RA
Pcer_041696-RA Pfrut_085721-RA
Pcer_009608-RA Pfrut_019440-RA
Pcer_068116-RA Pfrut_006332-RA
Pcer_089277-RA Pfrut_058578-RA
Pcer_044889-RA Pfrut_039443-RA
Pcer_048750-RA Pfrut_076088-RA
Pcer_059257-RA Pfrut_034019-RA
Pcer_047872-RA Pfrut_076733-RA
Pcer_028067-RA Pfrut_066631-RA
Pcer_026358-RA Pfrut_032989-RA
Pcer_028278-RA Pfrut_032570-RA
Pcer_087973-RA Pfrut_047542-RA
Pcer_006279-RA Pfrut_098395-RA
Pcer_081545-RA Pfrut_082621-RA
Pcer_042697-RA Pfrut_050136-RA
Pcer_007542-RA Pfrut_033482-RA
Pcer_059299-RA Pfrut_028219-RA
Pcer_028426-RA Pfrut_066257-RA
Pcer_059264-RA Pfrut_006644-RA
Pcer_042682-RA Pfrut_018550-RA
Pcer_008105-RA Pfrut_089216-RA
Pcer_044116-RA Pfrut_038673-RA
Pcer_059488-RA Pfrut_044576-RA
Pcer_010278-RA Pfrut_003941-RA
Pcer_042632-RA Pfrut_018608-RA
Pcer_027381-RA Pfrut_067345-RA
Pcer_048741-RA Pfrut_077684-RA
Pcer_048787-RA Pfrut_077728-RA
Pcer_049343-RA Pfrut_083792-RA
Pcer_087843-RA Pfrut_047492-RA
Pcer_049315-RA Pfrut_083765-RA
Pcer_068233-RA Pfrut_012332-RA
Pcer_007742-RA Pfrut_033523-RA
Pcer_008913-RA Pfrut_090052-RA
Pcer_087271-RA Pfrut_046796-RA
Pcer_059836-RA Pfrut_048849-RA
Pcer_008289-RA Pfrut_089402-RA
Pcer_005813-RA Pfrut_071610-RA
Pcer_088320-RA Pfrut_096057-RA
Pcer_048988-RA Pfrut_083393-RA
Pcer_043603-RA Pfrut_038127-RA
Pcer_048211-RA Pfrut_077132-RA
Pcer_081920-RA Pfrut_026844-RA
Pcer_044656-RA Pfrut_039211-RA
Pcer_068697-RA Pfrut_068785-RA
Pcer_069825-RA Pfrut_052647-RA
Pcer_083114-RA Pfrut_074824-RA
Pcer_048346-RA Pfrut_077288-RA
Pcer_082450-RA Pfrut_026269-RA
Pcer_048278-RA Pfrut_077206-RA
Pcer_010046-RA Pfrut_003680-RA
Pcer_043328-RA Pfrut_050533-RA
Pcer_044301-RA Pfrut_038871-RA
Pcer_081762-RA Pfrut_027020-RA
Pcer_044806-RA Pfrut_039361-RA
Pcer_008977-RA Pfrut_020076-RA
Pcer_082611-RA Pfrut_004638-RA
Pcer_005908-RA Pfrut_073739-RA
Pcer_041548-RA Pfrut_085886-RA
Pcer_028389-RA Pfrut_066294-RA
Pcer_047986-RA Pfrut_088696-RA
Pcer_087243-RA Pfrut_046767-RA
Pcer_010290-RA Pfrut_003961-RA
Pcer_006924-RA Pfrut_099137-RA
Pcer_043669-RA Pfrut_038194-RA
Pcer_005610-RA Pfrut_071383-RA
Pcer_028372-RA Pfrut_045053-RA
Pcer_068373-RA Pfrut_075238-RA
Pcer_048497-RA Pfrut_037604-RA
Pcer_080290-RA Pfrut_095279-RA
Pcer_070894-RA Pfrut_042909-RA
Pcer_047166-RA Pfrut_078404-RA
Pcer_059265-RA Pfrut_006645-RA
Pcer_069832-RA Pfrut_050948-RA
Pcer_007316-RA Pfrut_017150-RA
Pcer_081727-RA Pfrut_008472-RA
Pcer_026495-RA Pfrut_068313-RA
Pcer_044730-RA Pfrut_039281-RA
Pcer_069575-RA Pfrut_052346-RA
Pcer_048845-RA Pfrut_077782-RA
Pcer_087754-RA Pfrut_047315-RA
Pcer_057833-RA Pfrut_091026-RA
Pcer_047462-RA Pfrut_016053-RA
Pcer_028069-RA Pfrut_066628-RA
Pcer_048907-RA Pfrut_083310-RA
Pcer_048459-RA Pfrut_077406-RA
Pcer_010004-RA Pfrut_003634-RA
Pcer_028357-RA Pfrut_090362-RA
Pcer_042084-RA Pfrut_085305-RA
Pcer_049342-RA Pfrut_078632-RA
Pcer_082127-RA Pfrut_060667-RA
Pcer_042683-RA Pfrut_018549-RA
Pcer_043153-RA Pfrut_102028-RA
Pcer_027653-RA Pfrut_067080-RA
Pcer_083139-RA Pfrut_074798-RA
Pcer_082867-RA Pfrut_025856-RA
Pcer_044082-RA Pfrut_038636-RA
Pcer_080793-RA Pfrut_101940-RA
Pcer_027482-RA Pfrut_067251-RA
Pcer_088854-RA Pfrut_023310-RA
Pcer_028109-RA Pfrut_020916-RA
Pcer_007335-RA Pfrut_017125-RA
Pcer_044477-RA Pfrut_039048-RA
Pcer_008898-RA Pfrut_090037-RA
Pcer_009354-RA Pfrut_019691-RA
Pcer_089879-RA Pfrut_069618-RA
Pcer_070657-RA Pfrut_042668-RA
Pcer_044592-RA Pfrut_007368-RA
Pcer_080874-RA Pfrut_094694-RA
Pcer_027385-RA Pfrut_067341-RA
Pcer_042894-RA Pfrut_018282-RA
Pcer_059418-RA Pfrut_027595-RA
Pcer_087283-RA Pfrut_046804-RA
Pcer_041518-RA Pfrut_085919-RA
Pcer_006302-RA Pfrut_089083-RA
Pcer_049062-RA Pfrut_083470-RA
Pcer_010422-RA Pfrut_040458-RA
Pcer_008490-RA Pfrut_084601-RA
Pcer_048964-RA Pfrut_083367-RA
Pcer_007939-RA Pfrut_033747-RA
Pcer_088802-RA Pfrut_023364-RA
Pcer_042492-RA Pfrut_018755-RA
Pcer_088046-RA Pfrut_047631-RA
Pcer_081442-RA Pfrut_082728-RA
Pcer_047784-RA Pfrut_065720-RA
Pcer_026484-RA Pfrut_068330-RA
Pcer_048913-RA Pfrut_083317-RA
Pcer_042889-RA Pfrut_018287-RA
Pcer_009989-RA Pfrut_003621-RA
Pcer_009272-RA Pfrut_019778-RA
Pcer_009836-RA Pfrut_019197-RA
Pcer_043884-RA Pfrut_038419-RA
Pcer_089063-RA Pfrut_023064-RA
Pcer_008119-RA Pfrut_070125-RA
Pcer_010434-RA Pfrut_004302-RA
Pcer_059732-RA Pfrut_028624-RA
Pcer_088729-RA Pfrut_029125-RA
Pcer_058443-RA Pfrut_040850-RA
Pcer_059435-RA Pfrut_039781-RA
Pcer_048976-RA Pfrut_045165-RA
Pcer_027388-RA Pfrut_067338-RA
Pcer_071085-RA Pfrut_043102-RA
Pcer_069409-RA Pfrut_071661-RA
Pcer_088368-RA Pfrut_096000-RA
Pcer_009034-RA Pfrut_054154-RA
Pcer_048200-RA Pfrut_038025-RA
Pcer_009698-RA Pfrut_019343-RA
Pcer_082207-RA Pfrut_026514-RA
Pcer_071269-RA Pfrut_043279-RA
Pcer_047789-RA Pfrut_065727-RA
Pcer_088043-RA Pfrut_047628-RA
Pcer_041996-RA Pfrut_085400-RA
Pcer_071012-RA Pfrut_091702-RA
Pcer_089372-RA Pfrut_073449-RA
Pcer_008932-RA Pfrut_090069-RA
Pcer_047981-RA Pfrut_076870-RA
Pcer_082151-RA Pfrut_026578-RA
Pcer_080466-RA Pfrut_095095-RA
Pcer_069995-RA Pfrut_059073-RA
Pcer_044804-RA Pfrut_039359-RA
Pcer_048992-RA Pfrut_083397-RA
Pcer_010342-RA Pfrut_004014-RA
Pcer_058070-RA Pfrut_090705-RA
Pcer_027682-RA Pfrut_067054-RA
Pcer_027495-RA Pfrut_067238-RA
Pcer_027268-RA Pfrut_067468-RA
Pcer_010036-RA Pfrut_004491-RA
Pcer_008642-RA Pfrut_089776-RA
Pcer_042973-RA Pfrut_018200-RA
Pcer_009745-RA Pfrut_019287-RA
Pcer_083150-RA Pfrut_074782-RA
Pcer_059593-RA Pfrut_070427-RA
Pcer_041985-RA Pfrut_085414-RA
Pcer_007958-RA Pfrut_033768-RA
Pcer_028361-RA Pfrut_090358-RA
Pcer_009204-RA Pfrut_019845-RA
Pcer_080301-RA Pfrut_095267-RA
Pcer_089809-RA Pfrut_090126-RA
Pcer_082364-RA Pfrut_026365-RA
Pcer_071173-RA Pfrut_043189-RA
Pcer_005632-RA Pfrut_071410-RA
Pcer_007348-RA Pfrut_010439-RA
Pcer_005604-RA Pfrut_071376-RA
Pcer_048073-RA Pfrut_076969-RA
Pcer_010047-RA Pfrut_003681-RA
Pcer_068882-RA Pfrut_074354-RA
Pcer_089588-RA Pfrut_069291-RA
Pcer_027670-RA Pfrut_067065-RA
Pcer_009050-RA Pfrut_091513-RA
Pcer_087507-RA Pfrut_047048-RA
Pcer_007598-RA Pfrut_033420-RA
Pcer_006682-RA Pfrut_063226-RA
Pcer_071148-RA Pfrut_043162-RA
Pcer_006438-RA Pfrut_098579-RA
Pcer_006088-RA Pfrut_043814-RA
Pcer_068181-RA Pfrut_006418-RA
Pcer_071115-RA Pfrut_043131-RA
Pcer_049113-RA Pfrut_083529-RA
Pcer_028463-RA Pfrut_066228-RA
Pcer_089777-RA Pfrut_069515-RA
Pcer_008222-RA Pfrut_064360-RA
Pcer_087732-RA Pfrut_068944-RA
Pcer_048442-RA Pfrut_077390-RA
Pcer_081885-RA Pfrut_026892-RA
Pcer_087544-RA Pfrut_047101-RA
Pcer_071117-RA Pfrut_043133-RA
Pcer_071058-RA Pfrut_043077-RA
Pcer_089530-RA Pfrut_069225-RA
Pcer_008032-RA Pfrut_074699-RA
Pcer_006609-RA Pfrut_015017-RA
Pcer_026801-RA Pfrut_024991-RA
Pcer_042353-RA Pfrut_018922-RA
Pcer_089586-RA Pfrut_069290-RA
Pcer_089304-RA Pfrut_058608-RA
Pcer_087313-RA Pfrut_046841-RA
Pcer_007358-RA Pfrut_063435-RA
Pcer_028259-RA Pfrut_066428-RA
Pcer_048934-RA Pfrut_068829-RA
Pcer_027853-RA Pfrut_066870-RA
Pcer_081145-RA Pfrut_094416-RA
Pcer_044051-RA Pfrut_057158-RA
Pcer_087703-RA Pfrut_047261-RA
Pcer_088045-RA Pfrut_047630-RA
Pcer_047810-RA Pfrut_065753-RA
Pcer_008118-RA Pfrut_089229-RA
Pcer_007746-RA Pfrut_033528-RA
Pcer_088608-RA Pfrut_023570-RA
Pcer_027623-RA Pfrut_067113-RA
Pcer_028194-RA Pfrut_066493-RA
Pcer_007596-RA Pfrut_033422-RA
Pcer_028086-RA Pfrut_066610-RA
Pcer_047493-RA Pfrut_016141-RA
Pcer_082906-RA Pfrut_025819-RA
Pcer_041796-RA Pfrut_076329-RA
Pcer_006363-RA Pfrut_098479-RA
Pcer_089749-RA Pfrut_069479-RA
Pcer_010058-RA Pfrut_091855-RA
Pcer_007540-RA Pfrut_033484-RA
Pcer_068269-RA Pfrut_006534-RA
Pcer_005955-RA Pfrut_073796-RA
Pcer_047772-RA Pfrut_064322-RA
Pcer_088547-RA Pfrut_052925-RA
Pcer_047050-RA Pfrut_034840-RA
Pcer_007674-RA Pfrut_017088-RA
Pcer_009180-RA Pfrut_019871-RA
Pcer_027672-RA Pfrut_067063-RA
Pcer_027091-RA Pfrut_067657-RA
Pcer_087871-RA Pfrut_047462-RA
Pcer_048172-RA Pfrut_077090-RA
Pcer_008942-RA Pfrut_090078-RA
Pcer_088366-RA Pfrut_096002-RA
Pcer_081089-RA Pfrut_094466-RA
Pcer_007871-RA Pfrut_033671-RA
Pcer_006629-RA Pfrut_098786-RA
Pcer_028100-RA Pfrut_066593-RA
Pcer_082413-RA Pfrut_022105-RA
Pcer_071128-RA Pfrut_043145-RA
Pcer_008834-RA Pfrut_012106-RA
Pcer_027086-RA Pfrut_067666-RA
Pcer_042250-RA Pfrut_019045-RA
Pcer_069949-RA Pfrut_059022-RA
Pcer_006205-RA Pfrut_098321-RA
Pcer_042476-RA Pfrut_079427-RA
Pcer_048441-RA Pfrut_077389-RA
Pcer_081516-RA Pfrut_082651-RA
Pcer_044574-RA Pfrut_007386-RA
Pcer_048839-RA Pfrut_077776-RA
Pcer_008131-RA Pfrut_089239-RA
Pcer_009074-RA Pfrut_019978-RA
Pcer_048829-RA Pfrut_077768-RA
Pcer_070752-RA Pfrut_042766-RA
Pcer_089092-RA Pfrut_023035-RA
Pcer_088763-RA Pfrut_008387-RA
Pcer_087960-RA Pfrut_084686-RA
Pcer_049279-RA Pfrut_083724-RA
Pcer_089870-RA Pfrut_069608-RA
Pcer_009166-RA Pfrut_019886-RA
Pcer_006947-RA Pfrut_099169-RA
Pcer_048423-RA Pfrut_077371-RA
Pcer_027525-RA Pfrut_067211-RA
Pcer_043700-RA Pfrut_038227-RA
Pcer_080758-RA Pfrut_094804-RA
Pcer_069975-RA Pfrut_059046-RA
Pcer_009396-RA Pfrut_019650-RA
Pcer_049217-RA Pfrut_030233-RA
Pcer_042456-RA Pfrut_018795-RA
Pcer_008439-RA Pfrut_012434-RA
Pcer_008659-RA Pfrut_089794-RA
Pcer_087925-RA Pfrut_047403-RA
Pcer_080661-RA Pfrut_094913-RA
Pcer_006410-RA Pfrut_071023-RA
Pcer_026719-RA Pfrut_068068-RA
Pcer_007838-RA Pfrut_033637-RA
Pcer_041714-RA Pfrut_085697-RA
Pcer_070804-RA Pfrut_042814-RA
Pcer_009245-RA Pfrut_019808-RA
