chr	start	end	gene
Pcer_chr3A 883022 884554 Pcer_092176-RA
Pcer_chr3A 886910 899726 Pcer_092177-RA
Pcer_chr3A 900387 901665 Pcer_092178-RA
Pcer_chr3A 902519 904518 Pcer_092179-RA
Pcer_chr3A 907335 907811 Pcer_092180-RA
Pcer_chr3A 911564 911770 Pcer_092181-RA
Pcer_chr3A 932743 932949 Pcer_092182-RA
Pcer_chr3A 947043 947718 Pcer_092183-RA
Pcer_chr3A 957639 960606 Pcer_092184-RA
Pcer_chr3A 993375 999884 Pcer_092185-RA
Pcer_chr3A 1001488 1005722 Pcer_092186-RA
Pcer_chr3A 1020784 1022217 Pcer_092187-RA
Pcer_chr3A 1032340 1040313 Pcer_092188-RA
Pcer_chr3A 1039140 1039427 Pcer_092189-RA
Pcer_chr3A 1040396 1052047 Pcer_092190-RA
Pcer_chr3A 1054840 1059957 Pcer_092191-RA
Pcer_chr3A 1083452 1085226 Pcer_092192-RA
Pcer_chr3A 1111138 1113171 Pcer_092193-RA
Pcer_chr3A 1119132 1124859 Pcer_092194-RA
Pcer_chr3A 1147113 1153527 Pcer_092195-RA
Pcer_chr3A 1154749 1159021 Pcer_092196-RA
Pcer_chr3A 1160004 1164539 Pcer_092197-RA
Pcer_chr3A 1178504 1181536 Pcer_092198-RA
Pcer_chr3A 1183362 1188042 Pcer_092199-RA
Pcer_chr3A 1192090 1193273 Pcer_092200-RA
Pcer_chr3A 1193497 1201698 Pcer_092201-RA
Pcer_chr3A 1202651 1207202 Pcer_092202-RA
Pcer_chr3A 1215990 1217042 Pcer_092203-RA
Pcer_chr3A 1220060 1222966 Pcer_092204-RA
Pcer_chr3A 1224451 1228101 Pcer_092205-RA
Pcer_chr3A 1232171 1240886 Pcer_092206-RA
Pcer_chr3A 1241556 1244277 Pcer_092207-RA
Pcer_chr3A 1248507 1251470 Pcer_092208-RA
Pcer_chr3A 1261449 1271043 Pcer_092209-RA
Pcer_chr3A 1272921 1278100 Pcer_092210-RA
Pcer_chr3A 1283817 1294059 Pcer_092211-RA
Pcer_chr3A 1295113 1300932 Pcer_092212-RA
Pcer_chr3A 1306108 1311102 Pcer_092213-RA
Pcer_chr3A 1313134 1318065 Pcer_092214-RA
Pcer_chr3A 1318380 1320159 Pcer_092215-RA
Pcer_chr3A 1321002 1322679 Pcer_092216-RA
Pcer_chr3A 1325047 1329500 Pcer_092217-RA
Pcer_chr3A 1331008 1332591 Pcer_092218-RA
Pcer_chr3A 1347494 1355518 Pcer_092219-RA
Pcer_chr3A 1355884 1356752 Pcer_092220-RA
Pcer_chr3A 1378832 1380316 Pcer_092221-RA
Pcer_chr3A 1389675 1390818 Pcer_092222-RA
Pcer_chr3A 1398507 1403448 Pcer_092223-RA
Pcer_chr3A 1415423 1416217 Pcer_092224-RA
Pcer_chr3A 1426777 1429327 Pcer_092225-RA
Pcer_chr3A 1432166 1433896 Pcer_092226-RA
Pcer_chr3A 1453976 1458117 Pcer_092227-RA
Pcer_chr3A 1476520 1478378 Pcer_092228-RA
Pcer_chr3A 1478952 1480781 Pcer_092229-RA
Pcer_chr3A 1484530 1487199 Pcer_092230-RA
Pcer_chr3A 1496781 1504760 Pcer_092231-RA
Pcer_chr3A 1509391 1514625 Pcer_092232-RA
Pcer_chr3A 1518780 1522624 Pcer_092233-RA
Pcer_chr3A 1521803 1525468 Pcer_092234-RA
Pcer_chr3A 1530365 1532464 Pcer_092235-RA
Pcer_chr3A 1533637 1538253 Pcer_092236-RA
Pcer_chr3A 1539451 1544331 Pcer_092237-RA
Pcer_chr3A 1547329 1551480 Pcer_092238-RA
Pcer_chr3A 1553144 1558874 Pcer_092239-RA
Pcer_chr3A 1566923 1569954 Pcer_092240-RA
Pcer_chr3A 1571291 1572697 Pcer_092241-RA
Pcer_chr3A 1572836 1578368 Pcer_092242-RA
Pcer_chr3A 1578876 1581272 Pcer_092243-RA
Pcer_chr3A 1582299 1592263 Pcer_092244-RA
Pcer_chr3A 1626348 1629132 Pcer_092245-RA
Pcer_chr3A 1642504 1647155 Pcer_092246-RA
Pcer_chr3A 1675220 1683129 Pcer_092247-RA
Pcer_chr3A 1684739 1688577 Pcer_092248-RA
Pcer_chr3A 1689542 1690114 Pcer_092249-RA
Pcer_chr3A 1690469 1695041 Pcer_092250-RA
Pcer_chr3A 1699295 1700089 Pcer_092251-RA
Pcer_chr3A 1702014 1704728 Pcer_092252-RA
Pcer_chr3A 1718131 1718705 Pcer_092253-RA
Pcer_chr3A 1720471 1720842 Pcer_092254-RA
Pcer_chr3A 1724266 1729148 Pcer_092255-RA
Pcer_chr3A 1733392 1738084 Pcer_092256-RA
Pcer_chr3A 1738750 1746709 Pcer_092257-RA
Pcer_chr3A 1747004 1750086 Pcer_092258-RA
Pcer_chr3A 1753545 1757796 Pcer_092259-RA
Pcer_chr3A 1770328 1771002 Pcer_092260-RA
Pcer_chr3A 1782210 1784372 Pcer_092261-RA
Pcer_chr3A 1792882 1794225 Pcer_092262-RA
Pcer_chr3A 1801426 1803717 Pcer_092263-RA
Pcer_chr3A 1807395 1807811 Pcer_092264-RA
Pcer_chr3A 1811141 1812234 Pcer_092265-RA
Pcer_chr3A 1813335 1813946 Pcer_092266-RA
Pcer_chr3A 1815107 1818770 Pcer_092267-RA
Pcer_chr3A 1822400 1823992 Pcer_092268-RA
Pcer_chr3A 1829313 1834565 Pcer_092269-RA
Pcer_chr3A 1843011 1843250 Pcer_092270-RA
Pcer_chr3A 1845508 1847683 Pcer_092271-RA
Pcer_chr3A 1852720 1859286 Pcer_092272-RA
Pcer_chr3A 1862717 1864411 Pcer_092273-RA
Pcer_chr3A 1868767 1869590 Pcer_092274-RA
Pcer_chr3A 1871888 1879243 Pcer_092275-RA
Pcer_chr3A 1879847 1886153 Pcer_092276-RA
Pcer_chr3A 1890293 1894693 Pcer_092277-RA
Pcer_chr3A 1921834 1925728 Pcer_092278-RA
Pcer_chr3A 1924594 1931915 Pcer_092279-RA
Pcer_chr3A 1932811 1933455 Pcer_092280-RA
Pcer_chr3A 1936985 1940763 Pcer_092281-RA
Pcer_chr3A 1942164 1946581 Pcer_092282-RA
Pcer_chr3A 1948356 1956539 Pcer_092283-RA
Pcer_chr3A 1957046 1959613 Pcer_092284-RA
Pcer_chr3A 1960094 1964880 Pcer_092285-RA
Pcer_chr3A 1966060 1970461 Pcer_092286-RA
Pcer_chr3A 1972095 1987719 Pcer_092287-RA
Pcer_chr3A 1994949 1996076 Pcer_092288-RA
Pcer_chr3A 1997107 1997502 Pcer_092289-RA
Pcer_chr3A 2009311 2014315 Pcer_092290-RA
Pcer_chr3A 2014947 2015381 Pcer_092291-RA
Pcer_chr3A 2015837 2019578 Pcer_092292-RA
Pcer_chr3A 2021292 2021849 Pcer_092293-RA
Pcer_chr3A 2024650 2026878 Pcer_092294-RA
Pcer_chr3A 2057282 2057584 Pcer_092295-RA
Pcer_chr3A 2058078 2058770 Pcer_092296-RA
Pcer_chr3A 2059584 2061387 Pcer_092297-RA
Pcer_chr3A 2063542 2064594 Pcer_092298-RA
Pcer_chr3A 2064633 2069955 Pcer_092299-RA
Pcer_chr3A 2073361 2075682 Pcer_092300-RA
Pcer_chr3A 2086638 2100020 Pcer_092301-RA
Pcer_chr3A 2121974 2123121 Pcer_092302-RA
Pcer_chr3A 2132785 2133495 Pcer_092303-RA
Pcer_chr3A 2135811 2136517 Pcer_092304-RA
Pcer_chr3A 2148739 2153582 Pcer_092305-RA
Pcer_chr3A 2160997 2161760 Pcer_092306-RA
Pcer_chr3A 2162132 2167357 Pcer_092307-RA
Pcer_chr3A 2168389 2174290 Pcer_092308-RA
Pcer_chr3A 2175837 2178233 Pcer_092309-RA
Pcer_chr3A 2181147 2188556 Pcer_092310-RA
Pcer_chr3A 2189382 2194755 Pcer_092311-RA
Pcer_chr3A 2213772 2221394 Pcer_092312-RA
Pcer_chr3A 2222367 2227259 Pcer_092313-RA
Pcer_chr3A 2249037 2252506 Pcer_092314-RA
Pcer_chr3A 2270155 2275244 Pcer_092315-RA
Pcer_chr3A 2278466 2282555 Pcer_092316-RA
Pcer_chr3A 2284999 2290971 Pcer_092317-RA
Pcer_chr3A 2291899 2296004 Pcer_092318-RA
Pcer_chr3A 2297112 2304070 Pcer_092319-RA
Pcer_chr3A 2305644 2310942 Pcer_092320-RA
Pcer_chr3A 2315142 2319922 Pcer_092321-RA
Pcer_chr3A 2323361 2326428 Pcer_092322-RA
Pcer_chr3A 2341256 2348897 Pcer_092323-RA
Pcer_chr3A 2374616 2377323 Pcer_092324-RA
Pcer_chr3A 2387675 2389253 Pcer_092325-RA
Pcer_chr3A 2392856 2397868 Pcer_092326-RA
Pcer_chr3A 2398125 2410794 Pcer_092327-RA
Pcer_chr3A 2414839 2419104 Pcer_092328-RA
Pcer_chr3A 2419787 2436158 Pcer_092329-RA
Pcer_chr3A 2437145 2440621 Pcer_092330-RA
Pcer_chr3A 2443293 2455025 Pcer_092331-RA
Pcer_chr3A 2456065 2457622 Pcer_092332-RA
Pcer_chr3A 2459039 2461493 Pcer_092333-RA
Pcer_chr3A 2461619 2463538 Pcer_092334-RA
Pcer_chr3A 2474787 2477961 Pcer_092335-RA
Pcer_chr3A 2484897 2493185 Pcer_092336-RA
Pcer_chr3A 2497878 2501087 Pcer_092337-RA
Pcer_chr3A 2504112 2507648 Pcer_092338-RA
Pcer_chr3A 2517158 2518437 Pcer_092339-RA
Pcer_chr3A 2521849 2528790 Pcer_092340-RA
Pcer_chr3A 2547276 2551041 Pcer_092341-RA
Pcer_chr3A 2557820 2563208 Pcer_092342-RA
Pcer_chr3A 2564221 2567662 Pcer_092343-RA
Pcer_chr3A 2568354 2572997 Pcer_092344-RA
Pcer_chr3A 2573082 2575948 Pcer_092345-RA
Pcer_chr3A 2577730 2582965 Pcer_092346-RA
Pcer_chr3A 2586412 2587365 Pcer_092347-RA
Pcer_chr3A 2588559 2590220 Pcer_092348-RA
Pcer_chr3A 2591544 2595309 Pcer_092349-RA
Pcer_chr3A 2602056 2612788 Pcer_092350-RA
Pcer_chr3A 2618447 2623050 Pcer_092351-RA
Pcer_chr3A 2625618 2629322 Pcer_092352-RA
Pcer_chr3A 2629460 2635665 Pcer_092353-RA
Pcer_chr3A 2636036 2640486 Pcer_092354-RA
Pcer_chr3A 2655722 2657179 Pcer_092355-RA
Pcer_chr3A 2657439 2667512 Pcer_092356-RA
Pcer_chr3A 2672172 2674664 Pcer_092357-RA
Pcer_chr3A 2678095 2681352 Pcer_092358-RA
Pcer_chr3A 2703547 2711385 Pcer_092359-RA
Pcer_chr3A 2712142 2713232 Pcer_092360-RA
Pcer_chr3A 2713562 2714889 Pcer_092361-RA
Pcer_chr3A 2724150 2726501 Pcer_092362-RA
Pcer_chr3A 2733666 2737300 Pcer_092363-RA
Pcer_chr3A 2751499 2753437 Pcer_092364-RA
Pcer_chr3A 2757697 2757957 Pcer_092365-RA
Pcer_chr3A 2770492 2771097 Pcer_092366-RA
Pcer_chr3A 2776518 2777885 Pcer_092367-RA
Pcer_chr3A 2846812 2847231 Pcer_092368-RA
Pcer_chr3A 2872289 2880830 Pcer_092369-RA
Pcer_chr3A 2881939 2884781 Pcer_092370-RA
Pcer_chr3A 2885103 2894692 Pcer_092371-RA
Pcer_chr3A 2894761 2896344 Pcer_092372-RA
Pcer_chr3A 2897967 2899240 Pcer_092373-RA
Pcer_chr3A 2914817 2915170 Pcer_092374-RA
Pcer_chr3A 2919896 2920210 Pcer_092375-RA
Pcer_chr3A 2922097 2922778 Pcer_092376-RA
Pcer_chr3A 2923348 2927163 Pcer_092377-RA
Pcer_chr3A 2927192 2927967 Pcer_092378-RA
Pcer_chr3A 2935330 2936838 Pcer_092379-RA
Pcer_chr3A 2938830 2942614 Pcer_092380-RA
Pcer_chr3A 2970579 2972527 Pcer_092381-RA
Pcer_chr3A 2973019 2973918 Pcer_092382-RA
Pcer_chr3A 2974653 2977774 Pcer_092383-RA
Pcer_chr3A 2979283 2980386 Pcer_092384-RA
Pcer_chr3A 2984725 2995456 Pcer_092385-RA
Pcer_chr3A 2997146 2997598 Pcer_092386-RA
Pcer_chr3A 2997895 3003134 Pcer_092387-RA
Pcer_chr3A 3003922 3005357 Pcer_092388-RA
Pcer_chr3A 3009022 3015014 Pcer_092389-RA
Pcer_chr3A 3015753 3019467 Pcer_092390-RA
Pcer_chr3A 3020039 3023366 Pcer_092391-RA
Pcer_chr3A 3024120 3027468 Pcer_092392-RA
Pcer_chr3A 3027853 3031342 Pcer_092393-RA
Pcer_chr3A 3032901 3036471 Pcer_092394-RA
Pcer_chr3A 3038114 3041923 Pcer_092395-RA
Pcer_chr3A 3043264 3051320 Pcer_092396-RA
Pcer_chr3A 3054407 3056681 Pcer_092397-RA
Pcer_chr3A 3054758 3069191 Pcer_092398-RA
Pcer_chr3A 3071504 3076068 Pcer_092399-RA
Pcer_chr3A 3076384 3077577 Pcer_092400-RA
Pcer_chr3A 3077746 3079575 Pcer_092401-RA
Pcer_chr3A 3079924 3082807 Pcer_092402-RA
Pcer_chr3A 3083340 3090428 Pcer_092403-RA
Pcer_chr3A 3090755 3093283 Pcer_092404-RA
Pcer_chr3A 3096783 3101454 Pcer_092405-RA
Pcer_chr3A 3100406 3106386 Pcer_092406-RA
Pcer_chr3A 3109916 3111333 Pcer_092407-RA
Pcer_chr3A 3116733 3119390 Pcer_092408-RA
Pcer_chr3A 3131640 3133526 Pcer_092409-RA
Pcer_chr3A 3135207 3138412 Pcer_092410-RA
Pcer_chr3A 3138937 3141916 Pcer_092411-RA
Pcer_chr3A 3149964 3152980 Pcer_092412-RA
Pcer_chr3A 3157225 3158663 Pcer_092413-RA
Pcer_chr3A 3163588 3169297 Pcer_092414-RA
Pcer_chr3A 3172235 3174141 Pcer_092415-RA
Pcer_chr3A 3174301 3178299 Pcer_092416-RA
Pcer_chr3A 3179879 3185254 Pcer_092417-RA
Pcer_chr3A 3193585 3193794 Pcer_092418-RA
Pcer_chr3A 3198539 3203779 Pcer_092419-RA
Pcer_chr3A 3215783 3220403 Pcer_092420-RA
Pcer_chr3A 3225263 3225694 Pcer_092421-RA
Pcer_chr3A 3241197 3243202 Pcer_092422-RA
Pcer_chr3A 3246050 3247693 Pcer_092423-RA
Pcer_chr3A 3248420 3250509 Pcer_092424-RA
Pcer_chr3A 3252987 3260471 Pcer_092425-RA
Pcer_chr3A 3290540 3295171 Pcer_092426-RA
Pcer_chr3A 3295750 3296507 Pcer_092427-RA
Pcer_chr3A 3296800 3300328 Pcer_092428-RA
Pcer_chr3A 3300553 3303039 Pcer_092429-RA
Pcer_chr3A 3303400 3304151 Pcer_092430-RA
Pcer_chr3A 3305590 3306296 Pcer_092431-RA
Pcer_chr3A 3320692 3323821 Pcer_092432-RA
Pcer_chr3A 3324752 3328203 Pcer_092433-RA
Pcer_chr3A 3328876 3330401 Pcer_092434-RA
Pcer_chr3A 3332140 3332523 Pcer_092435-RA
Pcer_chr3A 3333793 3336000 Pcer_092436-RA
Pcer_chr3A 3337065 3338165 Pcer_092437-RA
Pcer_chr3A 3342241 3347951 Pcer_092438-RA
Pcer_chr3A 3345929 3347572 Pcer_092439-RA
Pcer_chr3A 3367823 3371353 Pcer_092440-RA
Pcer_chr3A 3375320 3378026 Pcer_092441-RA
Pcer_chr3A 3381153 3383270 Pcer_092442-RA
Pcer_chr3A 3399460 3402167 Pcer_092443-RA
Pcer_chr3A 3408842 3412375 Pcer_092444-RA
Pcer_chr3A 3414474 3418702 Pcer_092445-RA
Pcer_chr3A 3423093 3423581 Pcer_092446-RA
Pcer_chr3A 3434401 3448296 Pcer_092447-RA
Pcer_chr3A 3449413 3451423 Pcer_092448-RA
Pcer_chr3A 3453058 3453696 Pcer_092449-RA
Pcer_chr3A 3458858 3460640 Pcer_092450-RA
Pcer_chr3A 3464270 3464851 Pcer_092451-RA
Pcer_chr3A 3473711 3477265 Pcer_092452-RA
Pcer_chr3A 3481736 3483332 Pcer_092453-RA
Pcer_chr3A 3494757 3497436 Pcer_092454-RA
Pcer_chr3A 3502245 3504273 Pcer_092455-RA
Pcer_chr3A 3516616 3522843 Pcer_092456-RA
Pcer_chr3A 3524647 3537562 Pcer_092457-RA
Pcer_chr3A 3540546 3540890 Pcer_092458-RA
Pcer_chr3A 3543930 3546754 Pcer_092459-RA
Pcer_chr3A 3547100 3551491 Pcer_092460-RA
Pcer_chr3A 3552196 3558765 Pcer_092461-RA
Pcer_chr3A 3559002 3563950 Pcer_092462-RA
Pcer_chr3A 3563910 3565834 Pcer_092463-RA
Pcer_chr3A 3566720 3569465 Pcer_092464-RA
Pcer_chr3A 3571891 3572337 Pcer_092465-RA
Pcer_chr3A 3576267 3578583 Pcer_092466-RA
Pcer_chr3A 3582114 3583499 Pcer_092467-RA
Pcer_chr3A 3594938 3599908 Pcer_092468-RA
Pcer_chr3A 3600584 3602422 Pcer_092469-RA
Pcer_chr3A 3607010 3611740 Pcer_092470-RA
Pcer_chr3A 3620497 3626090 Pcer_092471-RA
Pcer_chr3A 3628195 3633518 Pcer_092472-RA
Pcer_chr3A 3635865 3637226 Pcer_092473-RA
Pcer_chr3A 3647127 3651633 Pcer_092474-RA
Pcer_chr3A 3654522 3657216 Pcer_092475-RA
Pcer_chr3A 3659719 3660765 Pcer_092476-RA
Pcer_chr3A 3660969 3695030 Pcer_092477-RA
Pcer_chr3A 3701163 3702749 Pcer_092478-RA
Pcer_chr3A 3703773 3710157 Pcer_092479-RA
Pcer_chr3A 3711861 3713672 Pcer_092480-RA
Pcer_chr3A 3715648 3717050 Pcer_092481-RA
Pcer_chr3A 3721592 3724981 Pcer_092482-RA
Pcer_chr3A 3725179 3729143 Pcer_092483-RA
Pcer_chr3A 3730099 3735483 Pcer_092484-RA
Pcer_chr3A 3736377 3736946 Pcer_092485-RA
Pcer_chr3A 3739473 3745974 Pcer_092486-RA
Pcer_chr3A 3747171 3751752 Pcer_092487-RA
Pcer_chr3A 3752950 3754254 Pcer_092488-RA
Pcer_chr3A 3757678 3761357 Pcer_092489-RA
Pcer_chr3A 3763035 3765404 Pcer_092490-RA
Pcer_chr3A 3767422 3767775 Pcer_092491-RA
Pcer_chr3A 3772774 3778459 Pcer_092492-RA
Pcer_chr3A 3779546 3786817 Pcer_092493-RA
Pcer_chr3A 3791508 3794451 Pcer_092494-RA
Pcer_chr3A 3806715 3807882 Pcer_092495-RA
Pcer_chr3A 3810029 3812362 Pcer_092496-RA
Pcer_chr3A 3814682 3817250 Pcer_092497-RA
Pcer_chr3A 3817628 3821905 Pcer_092498-RA
Pcer_chr3A 3825732 3830154 Pcer_092499-RA
Pcer_chr3A 3840050 3841854 Pcer_092500-RA
Pcer_chr3A 3842353 3845098 Pcer_092501-RA
Pcer_chr3A 3847648 3848742 Pcer_092502-RA
Pcer_chr3A 3851138 3852277 Pcer_092503-RA
Pcer_chr3A 3855711 3857187 Pcer_092504-RA
Pcer_chr3A 3858978 3863038 Pcer_092505-RA
Pcer_chr3A 3863261 3868079 Pcer_092506-RA
Pcer_chr3A 3872041 3877478 Pcer_092507-RA
Pcer_chr3A 3877554 3880636 Pcer_092508-RA
Pcer_chr3A 3881627 3883471 Pcer_092509-RA
Pcer_chr3A 3883620 3886597 Pcer_092510-RA
Pcer_chr3A 3887261 3891381 Pcer_092511-RA
Pcer_chr3A 3891752 3895507 Pcer_092512-RA
Pcer_chr3A 3896856 3900661 Pcer_092513-RA
Pcer_chr3A 3909667 3910799 Pcer_092514-RA
Pcer_chr3A 3911708 3916188 Pcer_092515-RA
Pcer_chr3A 3923062 3926649 Pcer_092516-RA
Pcer_chr3A 3931605 3939433 Pcer_092517-RA
Pcer_chr3A 3941386 3943276 Pcer_092518-RA
Pcer_chr3A 3948214 3949113 Pcer_092519-RA
Pcer_chr3A 3949957 3952152 Pcer_092520-RA
Pcer_chr3A 3952473 3962393 Pcer_092521-RA
Pcer_chr3A 3968588 3973747 Pcer_092522-RA
Pcer_chr3A 3974861 3979344 Pcer_092523-RA
Pcer_chr3A 3992021 3994169 Pcer_092524-RA
Pcer_chr3A 3997712 3998968 Pcer_092525-RA
Pcer_chr3A 3999024 3999744 Pcer_092526-RA
Pcer_chr3A 4011292 4014823 Pcer_092527-RA
Pcer_chr3A 4015997 4023722 Pcer_092528-RA
Pcer_chr3A 4028393 4028693 Pcer_092529-RA
Pcer_chr3A 4034491 4041428 Pcer_092530-RA
Pcer_chr3A 4049366 4062110 Pcer_092531-RA
Pcer_chr3A 4067816 4077191 Pcer_092532-RA
Pcer_chr3A 4078105 4082598 Pcer_092533-RA
Pcer_chr3A 4082619 4085481 Pcer_092534-RA
Pcer_chr3A 4087025 4093242 Pcer_092535-RA
Pcer_chr3A 4093942 4098087 Pcer_092536-RA
Pcer_chr3A 4099085 4103026 Pcer_092537-RA
Pcer_chr3A 4105550 4111055 Pcer_092538-RA
Pcer_chr3A 4123886 4125856 Pcer_092539-RA
Pcer_chr3A 4127072 4133097 Pcer_092540-RA
Pcer_chr3A 4138047 4144020 Pcer_092541-RA
Pcer_chr3A 4146513 4147893 Pcer_092542-RA
Pcer_chr3A 4149983 4151794 Pcer_092543-RA
Pcer_chr3A 4151889 4156757 Pcer_092544-RA
Pcer_chr3A 4158588 4165568 Pcer_092545-RA
Pcer_chr3A 4165730 4168735 Pcer_092546-RA
Pcer_chr3A 4169577 4172923 Pcer_092547-RA
Pcer_chr3A 4184598 4185161 Pcer_092548-RA
Pcer_chr3A 4185930 4189515 Pcer_092549-RA
Pcer_chr3A 4189518 4195422 Pcer_092550-RA
